,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-dual_fuel
0,260.0,4401.0,133.0,3580.0,3206.0,4595.0
1,263.0,4402.0,128.0,3572.0,3212.0,4584.0
2,258.0,4401.0,118.0,3561.0,3218.0,4565.0
3,263.0,4401.0,108.0,3544.0,3224.0,4567.0
4,264.0,4401.0,101.0,3532.0,3229.0,4543.0
5,268.0,4402.0,92.0,3526.0,3229.0,4504.0
6,268.0,4402.0,92.0,3526.0,3229.0,4504.0
7,263.0,4402.0,83.0,3537.0,3222.0,4504.0
8,266.0,4401.0,78.0,3604.0,3227.0,4517.0
9,267.0,4401.0,75.0,3648.0,3227.0,4502.0
10,267.0,4401.0,75.0,3648.0,3227.0,4502.0
11,264.0,4400.0,68.0,3702.0,3228.0,4471.0
12,260.0,4401.0,70.0,3705.0,3225.0,4473.0
13,260.0,4401.0,70.0,3705.0,3225.0,4473.0
14,257.0,4400.0,69.0,3644.0,3223.0,4514.0
15,257.0,4399.0,66.0,3632.0,3221.0,4529.0
16,257.0,4399.0,66.0,3632.0,3221.0,4529.0
17,264.0,4399.0,60.0,3608.0,3220.0,4499.0
18,262.0,4399.0,60.0,3591.0,3245.0,4495.0
19,268.0,4401.0,57.0,3565.0,3263.0,4534.0
20,268.0,4399.0,54.0,3573.0,3264.0,4559.0
21,268.0,4399.0,54.0,3573.0,3264.0,4559.0
22,270.0,4400.0,43.0,3686.0,3264.0,4539.0
23,269.0,4400.0,40.0,3663.0,3262.0,4545.0
24,269.0,4400.0,40.0,3663.0,3262.0,4545.0
25,269.0,4400.0,40.0,3663.0,3262.0,4545.0
26,269.0,4400.0,40.0,3663.0,3262.0,4545.0
27,269.0,4400.0,40.0,3663.0,3262.0,4545.0
28,263.0,4399.0,35.0,3657.0,3302.0,4506.0
29,263.0,4399.0,35.0,3657.0,3302.0,4506.0
30,268.0,4399.0,33.0,3615.0,3289.0,4548.0
31,268.0,4399.0,33.0,3615.0,3289.0,4548.0
32,264.0,4399.0,28.0,3399.0,3251.0,4562.0
33,264.0,4399.0,28.0,3399.0,3251.0,4562.0
34,272.0,4400.0,27.0,3412.0,3211.0,4529.0
35,266.0,4401.0,26.0,3415.0,3196.0,4535.0
36,267.0,4401.0,23.0,3413.0,3184.0,4537.0
37,271.0,4400.0,24.0,3423.0,3162.0,4536.0
38,265.0,4400.0,24.0,3431.0,3133.0,4528.0
39,265.0,4400.0,24.0,3429.0,3133.0,4544.0
40,260.0,4400.0,23.0,3427.0,3167.0,4560.0
41,261.0,4401.0,21.0,3416.0,3197.0,4553.0
42,261.0,4401.0,21.0,3416.0,3197.0,4553.0
43,264.0,4400.0,15.0,3307.0,3290.0,4530.0
44,267.0,4400.0,16.0,3314.0,3278.0,4493.0
45,267.0,4400.0,16.0,3314.0,3278.0,4493.0
46,261.0,4400.0,23.0,3338.0,3246.0,4478.0
47,263.0,4400.0,28.0,3300.0,3218.0,4503.0
48,264.0,4399.0,33.0,3312.0,3188.0,4509.0
49,264.0,4399.0,33.0,3312.0,3188.0,4509.0
50,265.0,4401.0,29.0,3301.0,3201.0,4535.0
51,265.0,4401.0,29.0,3301.0,3201.0,4535.0
52,261.0,4401.0,26.0,3297.0,3206.0,4553.0
53,266.0,4399.0,17.0,3303.0,3218.0,4530.0
54,273.0,4399.0,12.0,3313.0,3193.0,4514.0
55,275.0,4399.0,10.0,3328.0,3183.0,4483.0
56,272.0,4399.0,11.0,3332.0,3186.0,4416.0
57,269.0,4399.0,12.0,3301.0,3203.0,4378.0
58,269.0,4399.0,12.0,3301.0,3203.0,4378.0
59,272.0,4400.0,10.0,3266.0,3219.0,4330.0
60,270.0,4399.0,10.0,3287.0,3236.0,4325.0
61,270.0,4399.0,10.0,3287.0,3236.0,4325.0
62,268.0,4400.0,9.0,3279.0,3234.0,4259.0
63,268.0,4400.0,9.0,3279.0,3234.0,4259.0
64,272.0,4398.0,6.0,3289.0,3247.0,4252.0
65,274.0,4400.0,4.0,3281.0,3254.0,4223.0
66,274.0,4400.0,4.0,3281.0,3254.0,4223.0
67,279.0,4400.0,5.0,3311.0,3262.0,4208.0
68,280.0,4399.0,5.0,3339.0,3290.0,4216.0
69,274.0,4400.0,4.0,3330.0,3292.0,4269.0
70,273.0,4401.0,3.0,3308.0,3289.0,4302.0
71,269.0,4400.0,3.0,3312.0,3295.0,4282.0
72,265.0,4399.0,3.0,3308.0,3313.0,4292.0
73,269.0,4398.0,3.0,3313.0,3326.0,4347.0
74,269.0,4398.0,3.0,3313.0,3326.0,4347.0
75,266.0,4400.0,6.0,3302.0,3340.0,4387.0
76,266.0,4399.0,7.0,3282.0,3314.0,4359.0
77,265.0,4401.0,6.0,3302.0,3299.0,4370.0
