,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-nuclear
0,243.0,4499.0,834.0,50.0,2990.0,6239.0,3261.0
1,243.0,4629.0,805.0,50.0,3185.0,6279.0,3263.0
2,249.0,4795.0,777.0,50.0,3208.0,6340.0,3263.0
3,253.0,4848.0,786.0,50.0,3248.0,6373.0,3261.0
4,248.0,4919.0,820.0,51.0,3234.0,6448.0,3262.0
5,251.0,4966.0,845.0,51.0,3154.0,6642.0,3260.0
6,247.0,4981.0,845.0,50.0,3155.0,6685.0,3262.0
7,249.0,4895.0,836.0,50.0,3170.0,6791.0,3261.0
8,244.0,4891.0,840.0,50.0,3233.0,6862.0,3263.0
9,254.0,4920.0,851.0,50.0,3242.0,6937.0,3261.0
10,251.0,4988.0,883.0,50.0,3229.0,7033.0,3261.0
11,252.0,5071.0,895.0,50.0,3205.0,7104.0,3262.0
12,253.0,5122.0,891.0,50.0,3260.0,7115.0,3263.0
13,256.0,5102.0,864.0,50.0,3309.0,7049.0,3260.0
14,262.0,5133.0,846.0,51.0,3354.0,6975.0,3261.0
15,261.0,5211.0,856.0,50.0,3303.0,6997.0,3260.0
16,258.0,5283.0,861.0,50.0,3223.0,7110.0,3261.0
17,257.0,5300.0,868.0,50.0,3216.0,7196.0,3260.0
18,255.0,5363.0,865.0,50.0,3169.0,7276.0,3259.0
19,253.0,5455.0,856.0,50.0,3196.0,7331.0,3258.0
20,256.0,5496.0,855.0,51.0,3232.0,7393.0,3255.0
21,262.0,5525.0,848.0,50.0,3253.0,7470.0,3256.0
22,267.0,5555.0,823.0,50.0,3215.0,7548.0,3257.0
23,269.0,5569.0,814.0,50.0,3245.0,7574.0,3255.0
24,268.0,5670.0,820.0,50.0,3225.0,7632.0,3255.0
25,263.0,5760.0,828.0,50.0,3233.0,7626.0,3256.0
26,264.0,5742.0,840.0,50.0,3369.0,7606.0,3259.0
27,268.0,5711.0,841.0,51.0,3444.0,7633.0,3256.0
28,269.0,5661.0,856.0,50.0,3439.0,7690.0,3255.0
29,269.0,5636.0,880.0,50.0,3428.0,7726.0,3257.0
30,268.0,5585.0,893.0,50.0,3438.0,7726.0,3256.0
31,271.0,5561.0,896.0,50.0,3429.0,7756.0,3257.0
32,263.0,5583.0,880.0,51.0,3398.0,7765.0,3257.0
33,265.0,5578.0,857.0,51.0,3387.0,7784.0,3257.0
34,268.0,5616.0,823.0,51.0,3395.0,7828.0,3256.0
35,260.0,5660.0,836.0,50.0,3405.0,7970.0,3257.0
36,258.0,5676.0,849.0,51.0,3513.0,8010.0,3259.0
37,270.0,5701.0,906.0,50.0,3636.0,7953.0,3258.0
38,267.0,5760.0,948.0,50.0,3715.0,7951.0,3255.0
39,268.0,5744.0,940.0,50.0,3670.0,8013.0,3257.0
40,266.0,5717.0,897.0,50.0,3670.0,8063.0,3257.0
41,259.0,5779.0,895.0,50.0,3677.0,8070.0,3257.0
42,260.0,5809.0,915.0,51.0,3730.0,8080.0,3259.0
