,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-npx
0,19.77,18.15,18.95,18.56,18.19,19.4,20.87,20.63,21.16,20.09,20.74,20.46,18.13,18.8,19.94
1,21.53,19.76,20.62,20.27,19.87,21.13,22.73,22.47,23.02,21.86,22.57,22.29,19.74,20.54,21.72
2,21.59,19.8,20.7,20.31,19.92,21.19,22.77,22.51,23.04,21.88,22.61,22.31,19.78,20.59,21.74
3,21.81,20.04,20.91,20.54,20.14,21.4,23.03,22.76,23.34,22.12,22.86,22.56,20.0,20.82,21.98
4,21.81,20.02,20.89,20.53,20.14,21.38,23.0,22.74,23.35,22.08,22.84,22.53,19.98,20.82,21.93
5,21.85,20.04,20.93,20.56,20.14,21.4,23.05,22.78,23.43,22.08,22.9,22.58,20.0,20.82,21.94
6,22.34,20.51,21.39,21.01,20.59,21.92,23.61,23.31,23.97,22.6,23.44,23.1,20.47,21.31,22.45
7,21.82,20.01,20.89,20.54,20.14,21.39,23.03,22.74,23.39,22.02,22.86,22.54,19.97,20.87,21.88
8,20.9,19.83,20.72,20.44,20.09,21.21,22.86,22.56,23.21,21.8,22.68,22.35,19.01,20.79,20.88
9,20.99,19.9,20.8,20.52,20.14,21.32,23.02,22.69,39.8,21.89,22.81,22.49,19.1,20.87,20.99
10,21.04,19.97,20.85,20.54,20.14,21.38,23.07,22.76,39.48,21.98,22.88,22.56,19.17,20.87,21.08
11,21.85,20.01,20.89,20.56,20.14,21.41,23.12,22.81,39.44,22.02,22.93,22.6,19.99,20.87,21.92
12,21.89,20.05,20.94,20.61,20.17,21.46,23.17,22.86,39.44,22.09,22.98,22.65,20.03,20.9,21.97
13,21.91,20.07,20.96,20.65,20.23,21.46,23.12,22.84,23.49,22.07,22.96,22.63,20.03,20.98,21.93
14,21.88,20.02,20.95,20.62,20.2,21.42,23.04,22.75,23.37,21.99,22.88,22.55,19.98,20.97,21.87
15,21.91,20.05,20.96,20.63,20.21,21.46,23.15,22.84,23.43,22.07,22.96,22.63,20.03,20.96,21.95
16,21.71,19.83,20.78,20.5,20.12,21.23,22.84,22.56,23.13,21.8,22.66,22.35,19.8,20.89,21.66
17,21.77,19.84,20.84,20.58,20.24,21.27,22.89,22.6,23.19,21.83,22.72,22.4,19.82,21.02,21.7
18,21.92,19.94,20.97,20.66,20.26,21.36,23.06,22.78,23.31,21.99,22.88,22.57,19.94,21.06,21.85
19,21.76,19.83,20.79,20.51,20.11,21.24,22.94,22.63,23.22,21.83,22.75,22.45,19.83,20.91,21.69
20,21.73,19.83,20.76,20.5,20.12,21.19,22.92,22.62,23.24,21.76,22.74,22.42,19.8,20.89,21.64
21,21.74,19.81,20.77,20.51,20.13,21.18,22.89,22.61,23.2,21.75,22.71,22.4,19.79,20.91,21.61
22,21.81,19.89,20.86,20.55,20.13,21.27,22.98,22.68,23.29,21.84,22.8,22.47,19.87,20.93,21.7
23,22.0,20.11,21.04,20.75,20.35,21.47,23.19,22.9,23.53,22.07,23.02,22.69,20.07,21.14,21.93
24,22.15,20.23,21.16,20.87,20.47,21.62,23.32,23.03,23.67,22.2,23.14,22.83,20.19,21.28,22.04
25,22.41,20.46,21.41,21.11,20.68,21.87,23.61,23.31,23.94,22.45,23.42,23.1,20.42,21.51,22.24
26,23.11,21.06,22.04,21.75,21.33,22.51,24.38,24.08,39.47,23.02,24.19,23.84,21.02,22.16,22.49
27,23.08,21.03,22.0,21.7,21.25,22.5,24.38,24.06,24.72,23.03,24.19,23.83,21.0,22.1,22.64
28,21.72,19.79,20.75,20.51,20.13,21.18,22.87,22.58,23.17,21.67,22.68,22.38,19.77,20.93,21.59
29,21.63,19.67,20.64,20.44,20.11,21.05,22.73,22.45,23.06,21.52,22.55,22.24,19.65,20.9,21.43
30,21.63,19.67,20.64,20.46,20.11,21.07,22.71,22.43,23.02,21.49,22.55,22.22,19.65,20.92,21.41
31,21.78,19.77,20.77,20.53,20.13,21.22,22.95,22.65,23.25,21.69,22.77,22.44,19.77,20.95,21.63
32,21.75,19.83,20.75,20.52,20.12,21.22,22.95,22.64,23.25,21.71,22.76,22.44,19.81,20.92,21.62
33,21.74,19.77,20.73,20.51,20.13,21.18,22.91,22.6,23.21,21.67,22.72,22.4,19.75,20.93,21.59
34,21.89,19.87,20.89,20.63,20.23,21.3,23.04,22.76,23.34,21.81,22.86,22.55,19.87,21.05,21.71
35,26.19,22.68,24.09,23.69,21.62,24.4,26.41,26.08,39.49,24.88,26.2,25.83,22.71,29.09,24.49
36,35.2,23.95,26.02,21.49,12.35,25.78,28.14,27.81,39.87,26.02,27.94,27.48,23.97,58.94,24.25
37,28.21,23.24,24.72,24.18,18.31,24.92,27.26,26.9,39.86,25.22,27.05,26.62,23.24,37.51,23.79
38,25.47,23.18,24.13,23.73,23.15,24.78,27.24,26.85,39.84,25.11,26.98,26.55,23.16,24.07,23.67
39,25.44,23.14,24.11,23.73,23.18,24.73,27.16,26.77,39.86,25.09,26.89,26.47,23.09,24.1,23.63
40,22.61,16.89,17.66,17.47,17.11,18.06,27.22,26.79,27.49,12.62,27.06,25.13,16.88,17.8,-18.22
41,22.17,20.11,21.09,20.81,20.26,21.5,23.32,22.99,40.11,22.01,23.12,22.78,20.09,21.59,21.87
42,21.9,19.85,20.79,20.54,20.13,21.26,23.26,22.93,40.77,21.66,23.05,22.71,19.83,20.95,21.69
43,22.37,20.29,21.22,20.92,20.29,21.69,23.61,23.27,46.2,22.13,23.4,23.05,20.27,21.74,21.87
44,28.27,23.23,24.71,24.22,18.32,24.89,27.25,26.93,46.27,25.18,27.08,26.61,23.21,37.8,23.41
45,28.25,23.23,24.69,24.19,18.32,24.89,27.27,26.93,46.25,25.18,27.08,26.61,23.21,37.66,23.41
46,29.85,24.34,25.84,25.27,18.48,26.05,28.62,28.28,40.86,26.3,28.44,27.93,24.32,40.8,24.01
47,31.68,24.61,26.3,25.6,16.06,26.36,29.4,29.05,40.51,26.28,29.22,28.64,24.59,47.75,22.22
48,28.06,23.22,24.56,24.03,18.26,24.84,27.25,26.93,40.49,25.15,27.08,26.61,23.19,37.01,23.39
49,23.29,20.88,21.88,21.55,20.31,22.34,24.33,24.0,40.47,22.78,24.13,23.77,20.86,23.71,22.2
50,-10.63,-55.45,-58.01,-57.56,-56.47,-59.27,30.13,28.52,39.6,-133.01,30.46,11.05,-55.39,-58.52,-508.89
51,-7.97,-52.93,-55.6,-55.43,-54.67,-56.57,33.46,31.66,32.57,-130.2,33.62,14.11,-52.87,-56.68,-505.93
52,11.29,-9.21,-9.65,-9.61,-9.46,-9.84,29.52,28.65,29.43,-40.94,29.55,21.06,-9.19,-9.8,-201.47
53,-0.49,-46.2,-48.48,-48.33,-47.67,-49.28,41.25,39.43,40.56,-122.7,41.42,21.83,-46.06,-49.43,-498.49
54,19.02,17.37,18.18,18.07,17.77,18.55,20.0,19.77,20.19,18.94,19.85,19.62,17.34,18.41,18.85
55,19.98,15.6,16.75,16.51,16.27,17.48,23.22,22.94,23.29,16.27,23.04,22.42,15.56,16.88,18.4
56,22.05,20.1,21.06,20.91,20.52,21.51,23.29,22.98,23.38,22.01,23.08,22.79,20.1,21.26,21.92
57,18.44,16.81,17.61,17.45,17.1,17.99,19.51,19.25,19.6,18.42,19.34,19.1,16.81,17.73,18.37
58,18.47,16.84,17.64,17.47,17.12,18.01,19.51,19.25,19.69,18.46,19.36,19.12,16.83,17.75,18.39
59,18.41,16.74,17.59,17.43,17.12,17.91,19.4,19.14,19.55,18.35,19.24,19.0,16.74,17.74,18.28
60,-11.98,-56.41,-59.37,-59.08,-58.21,-60.36,28.84,27.34,28.39,-133.97,29.24,9.71,-56.41,-60.24,-510.05
61,18.34,16.64,17.53,17.39,17.1,17.82,19.28,19.04,19.34,18.25,19.15,18.91,16.64,17.74,18.18
62,19.8,18.02,18.91,18.74,18.37,19.3,20.88,20.6,20.9,19.78,20.71,20.45,18.02,19.06,19.33
63,19.84,18.05,19.0,18.83,18.5,19.36,20.84,20.6,20.84,19.82,20.69,20.45,18.05,19.19,19.33
64,18.45,16.8,17.65,17.47,17.12,18.01,19.4,19.17,19.33,18.46,19.26,19.03,16.8,17.79,18.0
65,21.5,19.64,20.59,20.32,19.87,21.01,22.65,22.39,22.57,21.58,22.49,22.23,19.62,20.67,21.46
66,19.84,18.04,18.99,18.75,18.35,19.36,20.87,20.63,20.83,19.89,20.72,20.46,18.04,19.1,19.77
67,21.81,19.93,20.88,20.61,20.15,21.31,22.99,22.7,22.97,21.9,22.82,22.54,19.89,20.98,21.76
68,31.7,24.46,26.25,25.44,14.1,26.17,28.13,27.8,28.18,26.8,27.93,27.58,24.41,51.98,26.65
69,30.79,24.44,26.11,25.43,16.02,26.16,28.11,27.79,28.22,26.78,27.94,27.59,24.42,47.16,26.61
70,25.73,22.66,23.7,23.29,20.61,24.2,26.38,26.05,26.45,24.61,26.17,25.79,22.61,28.61,23.44
71,21.9,20.14,20.97,20.68,20.15,21.48,23.17,22.89,23.24,21.98,23.01,22.7,20.08,20.96,21.85
72,19.74,18.15,18.9,18.66,18.19,19.34,20.87,20.63,20.91,19.79,20.72,20.46,18.1,18.9,19.72
73,22.06,19.45,20.38,20.02,17.56,20.72,22.36,22.08,22.4,21.2,22.18,21.9,19.39,25.07,21.1
74,19.76,18.17,18.93,18.69,18.21,19.36,20.89,20.63,20.91,19.83,20.72,20.46,18.11,18.95,18.54
75,19.77,18.15,18.92,18.67,18.16,19.38,20.91,20.65,20.93,19.83,20.74,20.48,18.11,18.97,18.56
76,31.81,25.06,26.78,26.07,16.14,26.79,28.99,28.68,29.07,27.15,28.81,28.41,25.01,49.12,24.62
77,32.13,26.04,27.87,27.27,18.84,27.84,29.63,29.39,29.79,28.45,29.5,29.17,25.99,47.01,29.32
78,30.14,25.54,26.93,26.4,21.16,27.29,29.65,29.35,29.78,27.5,29.49,29.06,25.46,37.9,26.32
79,27.35,25.27,26.25,25.86,25.1,26.98,28.97,28.66,29.02,27.65,28.79,28.45,25.19,26.11,28.6
80,28.97,25.79,27.01,26.53,23.65,27.56,29.54,29.23,29.62,28.25,29.36,29.02,25.73,32.06,28.06
81,28.59,25.39,26.61,26.15,23.58,27.14,29.38,29.06,29.51,27.63,29.2,28.82,25.34,30.97,26.27
82,28.84,25.56,26.77,26.33,23.61,27.32,29.59,29.3,29.78,27.8,29.44,29.03,25.51,31.43,26.37
83,28.64,25.54,26.67,26.19,24.24,27.3,29.62,29.32,29.86,27.75,29.46,29.05,25.49,30.0,26.23
84,30.44,25.8,27.24,26.7,21.21,27.6,29.75,29.5,30.01,28.02,29.64,29.23,25.75,38.69,26.49
85,32.04,26.0,27.68,27.1,18.82,27.82,29.86,29.64,30.13,28.23,29.75,29.39,25.92,46.14,26.73
86,31.74,25.96,27.51,26.84,18.76,27.74,29.86,29.61,30.1,28.13,29.75,29.36,25.88,45.1,26.54
87,34.77,27.48,29.3,28.49,16.98,29.39,31.2,30.97,31.47,30.01,31.11,30.77,27.39,54.89,29.76
88,38.01,29.26,31.9,30.37,15.85,31.27,33.23,33.01,33.53,32.0,33.14,32.79,29.17,62.44,31.18
89,28.31,25.94,27.14,26.8,26.12,27.75,29.75,29.5,29.96,28.35,29.64,29.3,25.89,27.18,27.08
90,30.07,25.73,27.14,26.45,21.15,27.53,29.6,29.33,29.75,28.16,29.44,29.1,25.68,37.64,26.96
91,30.11,25.71,27.12,26.5,21.16,27.51,29.57,29.3,29.75,28.11,29.41,29.08,25.63,37.9,26.95
92,27.3,25.17,26.2,25.76,24.98,26.9,28.97,28.66,29.12,27.56,28.79,28.42,25.09,25.98,26.63
93,28.62,25.64,26.83,26.25,23.58,27.44,29.41,29.09,29.59,28.23,29.23,28.91,25.59,30.88,27.96
94,30.02,25.71,27.13,26.51,21.14,27.54,29.46,29.18,29.68,28.33,29.31,28.96,25.66,37.9,28.04
95,31.62,25.79,27.49,26.8,18.75,27.65,29.68,29.43,29.91,28.27,29.57,29.2,25.74,44.97,27.01
96,30.57,25.94,27.53,26.93,21.25,27.81,29.63,29.39,29.81,28.59,29.52,29.2,25.92,39.42,28.27
97,33.3,26.22,28.13,27.33,16.37,28.14,29.89,29.65,30.1,28.89,29.78,29.49,26.17,52.64,28.54
98,34.05,26.63,28.7,27.89,16.48,28.57,30.25,30.05,30.49,29.34,30.16,29.86,26.58,54.52,28.93
99,33.18,26.18,28.08,27.22,16.33,28.08,29.78,29.54,29.99,28.81,29.67,29.37,26.12,52.34,28.43
100,28.58,26.27,27.54,27.22,26.53,28.16,29.86,29.62,30.08,28.89,29.76,29.46,26.19,27.63,28.51
101,29.35,26.79,28.14,27.84,27.23,28.72,30.72,30.52,31.0,29.2,30.64,30.29,26.71,28.28,27.36
102,30.82,26.8,28.38,27.92,25.13,28.78,30.75,30.5,31.0,29.25,30.64,30.27,26.74,34.89,27.54
103,33.25,27.55,29.4,28.73,21.58,29.56,31.59,31.36,31.82,29.96,31.51,31.11,27.46,44.93,27.91
104,28.07,25.78,26.92,26.52,25.86,27.52,29.63,29.35,29.78,27.87,29.46,29.08,25.65,26.84,25.7
105,27.98,25.84,27.06,26.77,26.16,27.67,29.36,29.04,29.47,28.3,29.18,28.88,25.73,27.09,27.93
106,27.98,25.68,26.95,26.71,26.16,27.53,29.44,29.09,29.49,28.01,29.23,28.87,25.61,27.05,26.85
107,27.74,25.47,26.82,26.64,26.15,27.32,28.97,28.66,29.05,27.93,28.79,28.47,25.39,27.06,27.56
108,27.55,25.1,26.39,26.23,25.74,26.9,28.99,28.7,29.07,27.19,28.84,28.43,25.02,26.62,25.08
109,27.54,25.12,26.39,26.23,25.74,26.93,28.99,28.7,29.07,27.26,28.84,28.44,25.04,26.62,25.26
110,27.58,25.17,26.46,26.34,25.9,27.01,28.97,28.7,29.05,27.34,28.84,28.44,25.1,26.75,25.43
111,26.9,24.58,25.92,25.77,25.36,26.4,28.12,27.84,28.17,26.85,27.96,27.65,24.53,26.22,25.78
112,28.22,25.82,27.15,26.96,26.46,27.71,29.6,29.33,29.71,28.21,29.47,29.09,25.74,27.39,26.65
113,28.41,25.99,27.32,27.13,26.65,27.85,29.75,29.5,29.94,28.4,29.64,29.26,25.91,27.56,26.74
114,28.54,26.01,27.43,27.24,26.81,27.94,29.79,29.57,30.0,28.43,29.71,29.34,25.93,27.75,26.63
115,28.36,25.91,27.23,27.08,26.65,27.8,29.68,29.44,29.87,28.27,29.57,29.18,25.83,27.55,26.54
116,28.3,25.83,27.13,26.95,26.47,27.72,29.68,29.41,29.81,28.2,29.55,29.15,25.75,27.37,26.37
117,28.14,25.73,27.0,26.81,26.34,27.61,29.57,29.25,29.65,28.12,29.41,29.0,25.68,27.24,26.46
118,28.21,25.98,27.25,27.04,26.61,27.84,29.49,29.17,29.6,28.56,29.36,28.99,25.9,27.49,28.13
119,28.01,25.68,26.95,26.76,26.31,27.53,29.44,29.09,29.49,28.09,29.28,28.86,25.57,27.18,26.73
120,28.15,25.74,27.03,26.82,26.37,27.61,29.55,29.22,29.63,28.15,29.41,28.98,25.66,27.24,26.62
121,28.0,25.61,26.9,26.69,26.24,27.47,29.39,29.06,29.46,27.99,29.25,28.83,25.53,27.13,26.54
122,27.95,25.5,26.83,26.62,26.2,27.38,29.34,29.02,29.42,27.9,29.18,28.78,25.44,27.07,26.33
123,28.25,25.74,27.09,26.86,26.43,27.68,29.65,29.35,29.81,28.21,29.52,29.11,25.69,27.31,26.66
124,28.23,25.83,27.13,26.84,26.31,27.74,29.76,29.44,30.1,28.38,29.63,29.18,25.8,27.18,27.1
125,28.09,25.75,26.99,26.59,26.01,27.65,29.73,29.41,30.08,28.33,29.6,29.15,25.72,26.89,27.01
126,28.12,25.69,26.93,26.62,26.09,27.59,29.73,29.43,30.07,28.17,29.6,29.14,25.64,26.93,26.68
127,28.19,25.71,27.01,26.72,26.19,27.62,29.7,29.4,30.05,28.17,29.6,29.14,25.66,27.09,26.68
128,28.23,25.68,27.05,26.71,26.23,27.61,29.72,29.4,30.01,28.14,29.59,29.12,25.65,27.13,26.51
129,28.14,25.66,26.95,26.69,26.24,27.56,29.69,29.37,29.96,28.07,29.56,29.09,25.61,27.08,26.36
130,28.1,25.61,26.88,26.54,26.01,27.51,29.69,29.37,29.93,28.03,29.56,29.09,25.56,26.88,26.21
