,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-centrl,electricity-load-nyiso-genese,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil
0,929.6122,439.4865,627.057,23105.547700000003,2258.7554,1590.2153,7779.4424,2234.7246,1595.5664,1081.4258,1328.7318,3240.5303
1,957.1498,450.6677,609.0346,23227.631599999997,2250.4495,1604.4349,7782.0938,2255.7256,1609.4941,1082.45,1360.0007,3266.1309
2,951.8839,430.5683,633.2824,23351.454,2246.9329,1622.1459,7853.414,2257.1787,1598.593,1076.5221,1391.0898,3289.843
3,957.845,444.8615,649.4299,23399.810699999998,2265.799,1626.3142,7879.296,2226.4614,1606.1211,1056.6724,1370.7739,3316.2363
4,968.7655,450.3399,615.5148,23455.3832,2232.086,1621.7043,7910.8594,2218.234,1619.6486,1082.9677,1391.1234,3344.1396
5,966.6453,442.6224,629.2222,23605.190199999997,2266.0964,1622.4734,7952.019,2267.6733,1611.2571,1075.1207,1407.0819,3364.9785
6,968.9656,458.4285,626.3577,23713.393599999996,2253.4033,1654.252,7995.501,2276.213,1612.7593,1085.2244,1395.676,3386.6128
7,966.4364,459.8987,630.48,23851.7685,2311.6145,1670.5857,8044.622,2286.8022,1574.4403,1088.0054,1415.2026,3403.6807
8,992.4043,444.9034,623.7056,23954.037800000002,2251.8628,1683.7612,8060.6094,2291.3525,1618.0732,1092.3939,1461.2905,3433.681
9,989.9216,449.9719,638.1388,24022.323600000003,2269.1294,1699.2288,8085.464,2289.5322,1612.6562,1073.2324,1457.5903,3457.458
10,994.7744,451.0615,627.0186,24165.025,2275.093,1720.0413,8124.9805,2284.4133,1622.9253,1093.9377,1472.6283,3498.1511
11,1016.323,455.5083,631.8975,24339.1115,2286.5122,1713.7236,8199.255,2327.3574,1638.4207,1091.1869,1479.348,3499.5789
12,1027.0088,458.8604,627.0695,24398.636300000006,2295.6147,1703.8577,8212.333,2322.234,1650.4379,1100.7876,1477.2349,3523.1978
13,1023.1014,467.7975,646.8245,24564.934999999998,2301.0771,1720.9075,8237.325,2360.228,1653.969,1098.177,1497.721,3557.807
14,1035.3116,477.6609,644.5833,24591.899,2273.8872,1728.8945,8291.461,2302.2402,1663.4619,1101.5637,1485.5029,3587.3318
15,1040.1163,473.0501,637.2799,24686.058,2269.4673,1729.0238,8317.458,2317.6685,1662.6709,1089.5176,1535.7241,3614.0815
16,1041.3734,476.0868,631.3875,24827.8403,2262.557,1748.3612,8376.285,2341.538,1678.455,1112.7644,1532.9495,3626.0825
17,1059.4688,489.7402,626.5336,24864.488499999996,2277.977,1754.3154,8362.979,2334.9563,1682.0801,1105.2118,1514.4712,3656.7551
18,1034.9758,487.0674,626.6544,24994.3481,2262.1956,1770.3008,8435.056,2335.9253,1691.1476,1122.4409,1546.3353,3682.249
19,1057.0577,492.3676,631.0925,25025.224299999998,2265.4246,1787.4285,8413.463,2340.764,1691.2599,1111.4951,1548.3704,3686.501
20,1057.8289,499.7793,625.3129,25195.9056,2265.724,1786.9915,8513.84,2365.12,1696.7756,1110.757,1568.8907,3704.8857
21,1070.1249,488.2999,634.7211,25288.790699999998,2236.6548,1794.8076,8518.167,2405.099,1682.5413,1101.203,1593.2439,3763.9282
22,1059.7727,503.6897,645.2803,25391.939300000002,2256.0862,1796.675,8560.305,2380.7974,1674.708,1104.251,1596.8757,3813.4983
23,1082.2363,496.1334,644.1783,25483.6745,2243.2505,1807.2035,8574.906,2405.2314,1678.7014,1115.5459,1612.0515,3824.2363
24,1089.0717,515.5568,646.9948,25561.889199999998,2271.0608,1831.6174,8600.967,2401.0789,1651.3159,1127.3723,1583.5094,3843.3442
25,1080.1918,495.2361,639.3711,25675.268699999997,2271.0496,1837.3281,8663.21,2407.272,1637.4681,1126.1636,1643.2543,3874.724
26,1091.4229,524.7003,637.627,25684.5987,2266.94,1850.8217,8668.836,2391.275,1624.8025,1109.5244,1640.018,3878.6309
27,1088.4954,533.8152,645.2205,25699.502800000002,2270.7861,1871.0463,8680.143,2327.788,1614.4807,1119.2158,1646.064,3902.4478
28,1104.4945,526.1102,640.942,25782.057699999998,2297.4517,1850.1353,8720.048,2347.0503,1611.5981,1134.1245,1642.6475,3907.4556
29,1115.5797,530.0809,640.261,25912.0365,2312.8982,1875.0876,8758.77,2361.2207,1601.2405,1124.5176,1657.5613,3934.819
30,1096.0273,535.4461,633.5743,26013.648599999997,2296.0928,1906.5178,8752.586,2391.0898,1598.9758,1159.9152,1692.2502,3951.1733
31,1106.5991,553.8486,634.22,26056.610200000003,2308.9746,1922.0206,8784.653,2386.7722,1584.5312,1151.2825,1672.0966,3951.6118
