,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-crying_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-cat_face
0,4.0,10.0,12.0,7.0,3.0,15.0,10.0,6.0,8.0
1,3.0,5.0,8.0,10.0,9.0,16.0,9.0,6.0,9.0
2,4.0,3.0,12.0,4.0,6.0,15.0,12.0,6.0,3.0
3,2.0,6.0,17.0,1.0,7.0,10.0,15.0,8.0,9.0
4,3.0,4.0,7.0,3.0,11.0,12.0,10.0,7.0,3.0
5,1.0,4.0,10.0,3.0,8.0,14.0,12.0,9.0,5.0
6,1.0,11.0,10.0,3.0,4.0,13.0,17.0,4.0,3.0
7,1.0,12.0,11.0,6.0,8.0,16.0,10.0,12.0,3.0
8,2.0,8.0,11.0,6.0,8.0,14.0,12.0,7.0,7.0
9,5.0,8.0,11.0,1.0,9.0,14.0,11.0,8.0,6.0
10,1.0,5.0,9.0,2.0,11.0,13.0,13.0,7.0,5.0
11,5.0,4.0,10.0,8.0,6.0,8.0,9.0,8.0,5.0
12,4.0,6.0,17.0,8.0,10.0,17.0,20.0,3.0,2.0
13,4.0,6.0,9.0,11.0,8.0,13.0,13.0,7.0,4.0
14,3.0,5.0,8.0,1.0,6.0,11.0,12.0,3.0,2.0
15,4.0,9.0,3.0,4.0,13.0,16.0,11.0,5.0,7.0
16,3.0,8.0,12.0,2.0,7.0,18.0,19.0,9.0,7.0
17,3.0,2.0,12.0,9.0,8.0,13.0,14.0,7.0,3.0
18,5.0,7.0,15.0,1.0,7.0,17.0,15.0,6.0,7.0
19,4.0,3.0,9.0,9.0,11.0,18.0,13.0,4.0,7.0
20,5.0,10.0,8.0,2.0,10.0,20.0,13.0,8.0,5.0
21,3.0,5.0,13.0,5.0,10.0,10.0,14.0,10.0,6.0
22,3.0,5.0,15.0,2.0,10.0,16.0,10.0,8.0,4.0
23,4.0,6.0,16.0,6.0,11.0,14.0,18.0,3.0,5.0
24,2.0,5.0,9.0,9.0,7.0,13.0,11.0,9.0,9.0
25,2.0,9.0,12.0,1.0,11.0,16.0,19.0,4.0,2.0
26,3.0,5.0,6.0,3.0,8.0,11.0,11.0,6.0,2.0
27,4.0,8.0,12.0,6.0,10.0,9.0,9.0,6.0,4.0
28,3.0,7.0,22.0,4.0,10.0,13.0,8.0,5.0,4.0
29,7.0,6.0,6.0,2.0,7.0,12.0,18.0,7.0,4.0
30,2.0,3.0,16.0,6.0,11.0,17.0,16.0,5.0,4.0
31,0.0,10.0,17.0,5.0,7.0,12.0,13.0,7.0,3.0
32,2.0,7.0,15.0,3.0,12.0,9.0,9.0,7.0,8.0
33,1.0,7.0,15.0,3.0,8.0,16.0,17.0,9.0,6.0
34,3.0,4.0,13.0,3.0,12.0,16.0,13.0,7.0,3.0
35,1.0,4.0,7.0,5.0,7.0,10.0,14.0,7.0,6.0
36,2.0,3.0,10.0,8.0,8.0,12.0,9.0,2.0,8.0
37,1.0,8.0,20.0,7.0,8.0,14.0,11.0,6.0,2.0
38,4.0,2.0,18.0,6.0,13.0,18.0,9.0,9.0,4.0
39,7.0,11.0,13.0,4.0,12.0,16.0,7.0,10.0,7.0
40,0.0,9.0,7.0,6.0,10.0,14.0,10.0,5.0,6.0
41,8.0,3.0,12.0,4.0,6.0,6.0,21.0,4.0,4.0
42,3.0,6.0,13.0,4.0,4.0,15.0,14.0,6.0,4.0
43,1.0,7.0,10.0,5.0,15.0,17.0,12.0,8.0,5.0
44,3.0,3.0,19.0,3.0,8.0,15.0,9.0,4.0,5.0
45,0.0,6.0,12.0,2.0,4.0,13.0,16.0,10.0,2.0
46,2.0,7.0,9.0,2.0,3.0,10.0,16.0,9.0,2.0
47,4.0,3.0,12.0,3.0,7.0,16.0,15.0,8.0,7.0
48,2.0,3.0,12.0,8.0,7.0,11.0,10.0,6.0,5.0
49,1.0,8.0,8.0,4.0,7.0,11.0,9.0,3.0,3.0
50,4.0,14.0,12.0,5.0,10.0,14.0,14.0,7.0,4.0
51,4.0,12.0,12.0,4.0,7.0,20.0,18.0,7.0,6.0
52,1.0,6.0,14.0,7.0,11.0,10.0,16.0,7.0,4.0
53,2.0,9.0,24.0,8.0,9.0,13.0,17.0,4.0,7.0
54,6.0,8.0,15.0,4.0,11.0,10.0,23.0,3.0,10.0
55,1.0,6.0,17.0,6.0,4.0,23.0,9.0,12.0,7.0
56,2.0,7.0,10.0,1.0,9.0,16.0,13.0,9.0,4.0
57,5.0,8.0,15.0,4.0,16.0,22.0,17.0,10.0,5.0
58,6.0,13.0,14.0,6.0,11.0,20.0,17.0,10.0,5.0
59,4.0,10.0,15.0,6.0,14.0,10.0,13.0,8.0,8.0
60,3.0,8.0,18.0,8.0,10.0,15.0,16.0,15.0,5.0
61,6.0,4.0,9.0,9.0,8.0,15.0,16.0,11.0,5.0
62,2.0,11.0,19.0,7.0,10.0,20.0,12.0,10.0,3.0
63,1.0,10.0,20.0,3.0,6.0,17.0,18.0,12.0,6.0
64,5.0,13.0,18.0,7.0,8.0,14.0,18.0,11.0,10.0
65,5.0,11.0,13.0,4.0,11.0,13.0,16.0,7.0,3.0
66,1.0,8.0,13.0,3.0,11.0,23.0,14.0,9.0,7.0
67,5.0,7.0,22.0,7.0,12.0,15.0,21.0,5.0,8.0
68,4.0,8.0,13.0,4.0,11.0,17.0,12.0,7.0,2.0
69,4.0,8.0,13.0,5.0,8.0,19.0,11.0,5.0,5.0
70,4.0,7.0,9.0,3.0,12.0,14.0,13.0,12.0,7.0
71,5.0,18.0,17.0,2.0,4.0,11.0,12.0,9.0,7.0
72,4.0,10.0,9.0,6.0,9.0,6.0,9.0,9.0,9.0
73,2.0,10.0,14.0,9.0,7.0,21.0,20.0,3.0,6.0
74,6.0,17.0,5.0,6.0,13.0,12.0,18.0,1.0,9.0
75,5.0,5.0,7.0,3.0,13.0,16.0,23.0,6.0,6.0
76,2.0,11.0,11.0,6.0,4.0,10.0,17.0,8.0,8.0
77,2.0,9.0,6.0,5.0,9.0,16.0,12.0,10.0,9.0
78,6.0,7.0,10.0,5.0,5.0,13.0,10.0,6.0,6.0
79,5.0,6.0,11.0,9.0,13.0,15.0,8.0,6.0,7.0
80,9.0,7.0,11.0,6.0,12.0,18.0,18.0,6.0,9.0
81,5.0,6.0,11.0,6.0,5.0,13.0,15.0,6.0,2.0
82,10.0,3.0,15.0,4.0,11.0,13.0,8.0,9.0,8.0
83,3.0,5.0,14.0,2.0,9.0,16.0,11.0,13.0,8.0
84,2.0,8.0,14.0,7.0,9.0,15.0,13.0,10.0,7.0
85,7.0,4.0,12.0,2.0,12.0,13.0,19.0,9.0,2.0
86,3.0,4.0,13.0,6.0,15.0,13.0,22.0,10.0,2.0
87,0.0,6.0,14.0,3.0,6.0,16.0,14.0,7.0,6.0
88,2.0,9.0,16.0,2.0,16.0,13.0,14.0,5.0,9.0
89,3.0,6.0,15.0,2.0,11.0,14.0,23.0,4.0,4.0
90,6.0,9.0,19.0,4.0,4.0,19.0,20.0,7.0,5.0
91,4.0,5.0,20.0,2.0,9.0,19.0,17.0,6.0,8.0
92,2.0,4.0,11.0,4.0,10.0,17.0,22.0,5.0,5.0
93,2.0,7.0,15.0,4.0,11.0,17.0,11.0,10.0,5.0
94,3.0,12.0,19.0,6.0,14.0,20.0,24.0,8.0,6.0
95,4.0,8.0,15.0,4.0,12.0,20.0,8.0,4.0,4.0
96,2.0,11.0,13.0,6.0,16.0,20.0,16.0,8.0,8.0
97,1.0,6.0,12.0,6.0,6.0,22.0,14.0,7.0,9.0
98,3.0,11.0,12.0,8.0,9.0,14.0,16.0,5.0,4.0
99,2.0,6.0,13.0,6.0,12.0,21.0,12.0,9.0,5.0
100,4.0,2.0,22.0,8.0,6.0,16.0,15.0,8.0,4.0
101,4.0,10.0,19.0,3.0,9.0,14.0,19.0,8.0,4.0
102,2.0,4.0,13.0,5.0,14.0,16.0,15.0,10.0,9.0
103,3.0,7.0,14.0,8.0,8.0,20.0,21.0,9.0,7.0
104,0.0,7.0,20.0,8.0,6.0,13.0,18.0,8.0,3.0
105,3.0,6.0,17.0,5.0,14.0,16.0,16.0,13.0,7.0
106,3.0,7.0,17.0,10.0,13.0,17.0,17.0,7.0,5.0
107,6.0,9.0,17.0,3.0,9.0,11.0,15.0,10.0,7.0
108,6.0,6.0,12.0,6.0,7.0,20.0,26.0,4.0,4.0
109,6.0,8.0,13.0,6.0,5.0,23.0,11.0,9.0,4.0
110,5.0,9.0,22.0,6.0,8.0,19.0,17.0,5.0,8.0
111,4.0,8.0,14.0,7.0,6.0,10.0,18.0,7.0,6.0
112,2.0,6.0,12.0,4.0,7.0,19.0,15.0,7.0,8.0
113,3.0,5.0,9.0,1.0,7.0,25.0,21.0,8.0,6.0
114,2.0,7.0,16.0,4.0,18.0,18.0,23.0,13.0,10.0
115,3.0,10.0,18.0,4.0,12.0,22.0,14.0,7.0,4.0
116,7.0,12.0,16.0,8.0,15.0,16.0,15.0,11.0,2.0
117,6.0,6.0,14.0,6.0,5.0,26.0,22.0,8.0,7.0
118,3.0,7.0,14.0,7.0,9.0,22.0,17.0,9.0,2.0
119,1.0,13.0,9.0,4.0,6.0,13.0,13.0,11.0,3.0
120,4.0,6.0,13.0,6.0,17.0,25.0,22.0,6.0,10.0
121,4.0,7.0,7.0,6.0,15.0,7.0,14.0,13.0,4.0
122,1.0,10.0,10.0,11.0,14.0,16.0,11.0,10.0,6.0
123,6.0,10.0,14.0,4.0,7.0,18.0,9.0,7.0,7.0
124,2.0,7.0,19.0,9.0,5.0,15.0,14.0,10.0,1.0
125,4.0,2.0,20.0,2.0,8.0,28.0,15.0,7.0,9.0
126,3.0,7.0,20.0,2.0,12.0,24.0,20.0,8.0,7.0
127,2.0,10.0,24.0,5.0,9.0,26.0,15.0,14.0,1.0
128,6.0,10.0,13.0,7.0,11.0,25.0,21.0,10.0,7.0
129,5.0,6.0,15.0,9.0,7.0,30.0,18.0,4.0,6.0
130,3.0,8.0,20.0,5.0,13.0,15.0,22.0,9.0,8.0
131,3.0,7.0,13.0,7.0,8.0,21.0,13.0,3.0,12.0
132,7.0,10.0,16.0,4.0,7.0,19.0,15.0,9.0,4.0
133,3.0,5.0,17.0,7.0,7.0,14.0,15.0,10.0,9.0
134,5.0,9.0,15.0,2.0,13.0,24.0,13.0,8.0,6.0
135,2.0,5.0,11.0,5.0,12.0,19.0,20.0,12.0,5.0
136,5.0,7.0,20.0,6.0,12.0,24.0,11.0,9.0,8.0
137,5.0,5.0,20.0,7.0,11.0,17.0,15.0,7.0,4.0
138,2.0,10.0,14.0,6.0,20.0,22.0,13.0,8.0,2.0
139,3.0,4.0,19.0,5.0,14.0,23.0,18.0,6.0,5.0
