,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
0,17.0,30.0
1,19.0,26.0
2,9.0,20.0
3,12.0,27.0
4,14.0,26.0
5,21.0,25.0
6,12.0,28.0
7,14.0,33.0
8,20.0,34.0
9,16.0,33.0
10,19.0,38.0
11,15.0,18.0
12,13.0,27.0
13,27.0,34.0
14,15.0,41.0
15,12.0,30.0
16,10.0,36.0
17,22.0,35.0
18,24.0,25.0
19,19.0,30.0
20,13.0,26.0
21,18.0,29.0
22,17.0,20.0
23,18.0,22.0
24,21.0,40.0
25,17.0,30.0
26,16.0,27.0
27,11.0,32.0
28,15.0,26.0
29,19.0,26.0
30,18.0,23.0
31,21.0,25.0
32,21.0,25.0
33,17.0,24.0
34,12.0,35.0
35,17.0,21.0
36,13.0,27.0
37,15.0,29.0
38,25.0,33.0
39,17.0,36.0
40,13.0,35.0
41,26.0,34.0
42,14.0,27.0
43,20.0,30.0
44,24.0,33.0
45,15.0,35.0
46,15.0,31.0
47,17.0,37.0
48,16.0,41.0
49,19.0,31.0
50,19.0,37.0
51,18.0,26.0
52,23.0,28.0
53,22.0,30.0
54,17.0,27.0
55,21.0,31.0
56,21.0,25.0
57,16.0,36.0
58,16.0,25.0
59,17.0,37.0
60,19.0,22.0
61,16.0,29.0
62,25.0,26.0
63,21.0,33.0
64,19.0,30.0
65,22.0,32.0
66,20.0,21.0
67,20.0,28.0
68,16.0,27.0
69,28.0,31.0
70,15.0,32.0
71,12.0,44.0
72,11.0,35.0
73,17.0,36.0
74,22.0,24.0
75,21.0,35.0
76,20.0,36.0
77,19.0,28.0
78,21.0,20.0
79,17.0,32.0
80,14.0,25.0
81,15.0,38.0
82,26.0,30.0
83,20.0,33.0
84,16.0,34.0
85,23.0,36.0
86,21.0,38.0
87,16.0,31.0
88,22.0,41.0
89,21.0,44.0
90,11.0,26.0
91,21.0,25.0
92,21.0,42.0
93,22.0,22.0
94,13.0,35.0
95,17.0,33.0
96,17.0,32.0
97,18.0,30.0
98,14.0,31.0
99,20.0,33.0
100,22.0,24.0
101,21.0,33.0
102,19.0,36.0
103,19.0,41.0
104,27.0,31.0
105,22.0,40.0
106,19.0,36.0
107,20.0,27.0
108,23.0,29.0
109,15.0,32.0
110,25.0,45.0
111,26.0,47.0
112,22.0,31.0
113,21.0,44.0
114,17.0,28.0
115,20.0,32.0
116,26.0,34.0
117,16.0,39.0
118,22.0,26.0
119,24.0,46.0
120,14.0,29.0
121,20.0,39.0
122,19.0,30.0
123,15.0,23.0
124,21.0,40.0
125,28.0,43.0
126,15.0,37.0
127,26.0,39.0
128,13.0,38.0
129,20.0,31.0
130,13.0,28.0
131,15.0,42.0
132,20.0,34.0
133,16.0,44.0
134,23.0,46.0
135,22.0,40.0
136,25.0,33.0
137,29.0,38.0
138,21.0,51.0
139,18.0,45.0
140,25.0,29.0
141,15.0,29.0
142,15.0,40.0
143,11.0,37.0
144,22.0,37.0
145,20.0,39.0
146,23.0,37.0
147,17.0,31.0
148,19.0,42.0
149,21.0,24.0
150,20.0,40.0
151,25.0,38.0
152,14.0,35.0
153,25.0,30.0
154,22.0,36.0
155,24.0,31.0
156,16.0,34.0
157,18.0,43.0
158,21.0,25.0
159,26.0,21.0
160,16.0,33.0
161,20.0,39.0
162,23.0,37.0
163,21.0,48.0
164,22.0,44.0
165,20.0,33.0
166,13.0,40.0
167,22.0,53.0
168,19.0,33.0
169,26.0,33.0
