,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
0,34.0,20.0
1,21.0,25.0
2,34.0,22.0
3,45.0,16.0
4,36.0,8.0
5,27.0,15.0
6,13.0,8.0
7,30.0,14.0
8,39.0,23.0
9,28.0,14.0
10,48.0,14.0
11,25.0,19.0
12,33.0,17.0
13,36.0,16.0
14,36.0,16.0
15,42.0,18.0
16,31.0,16.0
17,29.0,22.0
18,35.0,24.0
19,27.0,11.0
20,39.0,19.0
21,26.0,16.0
22,27.0,18.0
23,25.0,15.0
24,33.0,19.0
25,37.0,13.0
26,37.0,24.0
27,36.0,16.0
28,45.0,12.0
29,37.0,11.0
30,38.0,18.0
31,24.0,22.0
32,31.0,18.0
33,45.0,22.0
34,48.0,18.0
35,43.0,16.0
36,31.0,21.0
37,36.0,21.0
38,39.0,23.0
39,44.0,21.0
40,41.0,15.0
41,36.0,17.0
42,33.0,24.0
43,28.0,18.0
44,34.0,18.0
45,37.0,18.0
46,36.0,23.0
47,26.0,24.0
48,28.0,24.0
49,26.0,16.0
50,40.0,23.0
51,38.0,24.0
52,38.0,11.0
53,37.0,15.0
54,41.0,14.0
55,38.0,20.0
56,39.0,18.0
57,35.0,25.0
58,48.0,18.0
59,36.0,22.0
60,41.0,15.0
61,35.0,21.0
62,35.0,7.0
63,31.0,18.0
64,32.0,16.0
65,39.0,17.0
66,27.0,14.0
67,36.0,19.0
68,50.0,9.0
69,42.0,24.0
70,33.0,20.0
71,25.0,27.0
72,43.0,24.0
73,33.0,17.0
74,37.0,12.0
75,48.0,14.0
76,42.0,18.0
77,35.0,26.0
78,43.0,23.0
79,40.0,20.0
80,43.0,16.0
81,42.0,17.0
82,37.0,19.0
83,50.0,15.0
84,38.0,20.0
85,34.0,20.0
86,45.0,17.0
87,43.0,20.0
88,32.0,24.0
89,34.0,20.0
90,31.0,22.0
91,32.0,19.0
92,56.0,23.0
93,54.0,18.0
94,52.0,21.0
95,42.0,15.0
96,47.0,20.0
97,45.0,22.0
98,49.0,19.0
99,44.0,25.0
100,43.0,26.0
101,48.0,25.0
102,40.0,23.0
103,46.0,28.0
104,49.0,18.0
