,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-cat_face
0,13.0,8.0,20.0,6.0,3.0,5.0,14.0,7.0,2.0
1,12.0,3.0,22.0,5.0,3.0,2.0,10.0,3.0,3.0
2,10.0,7.0,10.0,1.0,2.0,6.0,17.0,4.0,5.0
3,13.0,12.0,7.0,7.0,2.0,4.0,10.0,16.0,6.0
4,13.0,11.0,12.0,8.0,2.0,2.0,10.0,9.0,12.0
5,20.0,2.0,11.0,7.0,1.0,2.0,14.0,8.0,4.0
6,17.0,10.0,14.0,7.0,5.0,3.0,15.0,6.0,6.0
7,11.0,9.0,12.0,5.0,1.0,3.0,5.0,4.0,1.0
8,10.0,7.0,19.0,3.0,1.0,4.0,16.0,7.0,5.0
9,8.0,7.0,19.0,1.0,2.0,6.0,16.0,7.0,4.0
10,8.0,7.0,22.0,4.0,4.0,5.0,15.0,7.0,4.0
11,14.0,6.0,18.0,5.0,3.0,3.0,17.0,6.0,4.0
12,12.0,6.0,17.0,5.0,1.0,2.0,9.0,6.0,6.0
13,5.0,9.0,12.0,6.0,1.0,4.0,9.0,2.0,8.0
14,14.0,7.0,14.0,4.0,2.0,1.0,11.0,7.0,7.0
15,13.0,10.0,17.0,5.0,4.0,2.0,18.0,7.0,4.0
16,16.0,10.0,9.0,8.0,2.0,4.0,11.0,11.0,5.0
17,8.0,13.0,9.0,4.0,2.0,5.0,14.0,4.0,6.0
18,10.0,6.0,14.0,4.0,3.0,4.0,10.0,6.0,5.0
19,12.0,4.0,18.0,6.0,2.0,3.0,19.0,6.0,5.0
20,14.0,8.0,13.0,8.0,2.0,0.0,15.0,4.0,5.0
21,10.0,10.0,16.0,16.0,2.0,10.0,8.0,3.0,6.0
22,15.0,5.0,15.0,2.0,2.0,4.0,8.0,5.0,3.0
23,11.0,6.0,13.0,7.0,2.0,1.0,16.0,8.0,4.0
24,12.0,6.0,9.0,7.0,4.0,3.0,17.0,8.0,6.0
25,9.0,10.0,7.0,10.0,2.0,6.0,14.0,6.0,3.0
26,11.0,7.0,12.0,12.0,1.0,1.0,12.0,3.0,3.0
27,16.0,11.0,23.0,7.0,6.0,3.0,16.0,7.0,4.0
28,15.0,11.0,14.0,9.0,4.0,10.0,14.0,2.0,7.0
29,16.0,5.0,16.0,8.0,4.0,9.0,16.0,5.0,8.0
30,16.0,9.0,16.0,8.0,4.0,2.0,16.0,2.0,5.0
31,13.0,6.0,18.0,3.0,4.0,13.0,10.0,5.0,4.0
32,17.0,7.0,12.0,6.0,2.0,1.0,13.0,9.0,3.0
33,15.0,10.0,15.0,6.0,2.0,6.0,22.0,7.0,5.0
34,12.0,7.0,16.0,10.0,4.0,6.0,10.0,6.0,5.0
35,14.0,3.0,18.0,7.0,6.0,2.0,16.0,7.0,3.0
36,10.0,8.0,8.0,5.0,2.0,5.0,11.0,4.0,5.0
37,10.0,11.0,12.0,6.0,2.0,1.0,10.0,6.0,6.0
38,14.0,14.0,17.0,1.0,1.0,2.0,11.0,5.0,4.0
39,13.0,16.0,14.0,3.0,1.0,2.0,18.0,6.0,2.0
40,13.0,5.0,12.0,3.0,4.0,4.0,18.0,6.0,11.0
41,19.0,10.0,8.0,3.0,5.0,6.0,15.0,4.0,5.0
42,10.0,12.0,9.0,9.0,3.0,3.0,16.0,7.0,5.0
43,19.0,12.0,9.0,8.0,1.0,3.0,21.0,6.0,6.0
44,21.0,13.0,17.0,4.0,4.0,4.0,11.0,12.0,3.0
45,17.0,12.0,7.0,10.0,1.0,5.0,7.0,8.0,4.0
46,8.0,9.0,7.0,8.0,4.0,5.0,19.0,8.0,3.0
47,17.0,5.0,14.0,5.0,6.0,6.0,23.0,8.0,3.0
48,26.0,11.0,15.0,6.0,3.0,6.0,18.0,4.0,6.0
49,17.0,11.0,13.0,5.0,2.0,5.0,11.0,8.0,2.0
50,12.0,6.0,12.0,6.0,2.0,6.0,20.0,10.0,3.0
51,13.0,12.0,16.0,7.0,7.0,3.0,19.0,2.0,3.0
52,16.0,5.0,15.0,7.0,4.0,3.0,12.0,5.0,5.0
53,12.0,10.0,9.0,7.0,8.0,6.0,11.0,6.0,7.0
54,16.0,5.0,14.0,8.0,4.0,9.0,9.0,9.0,3.0
55,15.0,5.0,15.0,6.0,6.0,1.0,13.0,6.0,7.0
56,15.0,5.0,7.0,8.0,3.0,4.0,11.0,5.0,3.0
57,11.0,9.0,9.0,9.0,0.0,4.0,12.0,2.0,1.0
58,12.0,15.0,14.0,11.0,1.0,4.0,14.0,7.0,5.0
59,11.0,11.0,14.0,7.0,6.0,2.0,19.0,5.0,7.0
60,22.0,6.0,12.0,5.0,1.0,2.0,17.0,12.0,5.0
61,16.0,11.0,13.0,6.0,4.0,4.0,14.0,1.0,2.0
62,10.0,8.0,9.0,7.0,4.0,4.0,16.0,7.0,3.0
63,11.0,7.0,10.0,4.0,4.0,4.0,11.0,7.0,5.0
64,14.0,14.0,13.0,15.0,7.0,1.0,15.0,7.0,3.0
65,17.0,8.0,12.0,6.0,5.0,6.0,19.0,9.0,5.0
