,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
0,9.0,10.0
1,8.0,2.0
2,13.0,4.0
3,16.0,8.0
4,12.0,7.0
5,11.0,5.0
6,12.0,8.0
7,11.0,8.0
8,11.0,4.0
9,14.0,9.0
10,15.0,5.0
11,11.0,6.0
12,8.0,12.0
13,12.0,6.0
14,10.0,7.0
15,8.0,5.0
16,19.0,5.0
17,10.0,5.0
18,18.0,5.0
19,11.0,5.0
20,14.0,7.0
21,9.0,11.0
22,12.0,2.0
23,12.0,10.0
24,16.0,5.0
25,8.0,9.0
26,7.0,11.0
27,9.0,8.0
28,17.0,8.0
29,9.0,10.0
30,13.0,10.0
31,13.0,10.0
32,14.0,12.0
33,13.0,4.0
34,20.0,7.0
35,15.0,7.0
36,12.0,8.0
37,14.0,8.0
38,11.0,5.0
39,13.0,7.0
40,9.0,4.0
41,10.0,4.0
42,14.0,9.0
43,17.0,7.0
44,16.0,6.0
45,18.0,5.0
46,15.0,9.0
47,17.0,1.0
48,15.0,7.0
49,8.0,5.0
50,15.0,6.0
51,9.0,6.0
52,15.0,17.0
53,9.0,11.0
54,9.0,3.0
55,14.0,7.0
56,14.0,8.0
57,17.0,6.0
58,14.0,9.0
59,19.0,8.0
60,14.0,4.0
61,21.0,12.0
62,11.0,8.0
63,15.0,2.0
64,17.0,15.0
65,14.0,7.0
66,14.0,10.0
67,16.0,5.0
68,13.0,16.0
69,12.0,3.0
70,12.0,4.0
71,16.0,7.0
72,17.0,7.0
73,16.0,8.0
74,20.0,5.0
75,9.0,10.0
76,12.0,2.0
77,11.0,6.0
78,9.0,5.0
79,20.0,7.0
80,18.0,10.0
81,18.0,11.0
82,18.0,3.0
83,11.0,7.0
84,11.0,10.0
85,14.0,5.0
86,14.0,9.0
87,20.0,8.0
88,25.0,7.0
89,22.0,5.0
90,26.0,7.0
91,29.0,7.0
92,20.0,7.0
93,17.0,12.0
94,16.0,7.0
95,16.0,12.0
96,15.0,5.0
97,16.0,10.0
98,23.0,7.0
99,21.0,13.0
100,17.0,7.0
101,24.0,10.0
102,22.0,9.0
103,19.0,5.0
104,14.0,11.0
105,18.0,5.0
106,11.0,7.0
107,12.0,4.0
108,17.0,9.0
109,9.0,10.0
110,24.0,7.0
111,19.0,7.0
112,14.0,14.0
113,15.0,16.0
114,20.0,9.0
115,19.0,13.0
116,16.0,10.0
117,15.0,5.0
118,17.0,7.0
119,22.0,11.0
120,20.0,7.0
121,21.0,13.0
122,14.0,9.0
123,25.0,13.0
124,16.0,11.0
125,32.0,9.0
126,15.0,8.0
127,19.0,8.0
128,18.0,9.0
129,16.0,7.0
130,19.0,6.0
131,23.0,9.0
132,23.0,5.0
133,14.0,12.0
134,16.0,13.0
135,24.0,12.0
136,12.0,15.0
137,20.0,12.0
138,17.0,11.0
139,24.0,10.0
140,12.0,4.0
141,19.0,14.0
142,20.0,12.0
143,19.0,18.0
144,26.0,9.0
145,20.0,7.0
146,21.0,18.0
147,22.0,6.0
148,16.0,5.0
149,15.0,7.0
150,17.0,8.0
151,15.0,11.0
152,12.0,9.0
153,23.0,5.0
154,19.0,12.0
155,21.0,11.0
156,17.0,15.0
157,28.0,12.0
158,18.0,7.0
159,15.0,16.0
160,18.0,7.0
161,12.0,18.0
162,20.0,11.0
163,20.0,13.0
164,24.0,11.0
165,19.0,8.0
166,18.0,11.0
167,13.0,13.0
168,18.0,6.0
169,19.0,6.0
170,18.0,8.0
171,17.0,10.0
172,16.0,7.0
173,24.0,7.0
174,19.0,15.0
175,20.0,10.0
176,26.0,10.0
177,22.0,9.0
178,29.0,13.0
179,21.0,12.0
180,24.0,10.0
181,22.0,15.0
182,15.0,9.0
183,16.0,10.0
184,22.0,10.0
185,20.0,13.0
186,24.0,12.0
187,13.0,10.0
188,21.0,7.0
189,17.0,9.0
190,21.0,11.0
191,17.0,9.0
192,33.0,9.0
193,17.0,8.0
194,30.0,10.0
195,32.0,5.0
196,26.0,8.0
197,20.0,11.0
198,22.0,10.0
199,25.0,16.0
200,29.0,11.0
201,17.0,11.0
202,17.0,19.0
203,20.0,7.0
204,24.0,13.0
205,22.0,14.0
206,24.0,16.0
207,16.0,12.0
208,28.0,7.0
209,16.0,12.0
210,36.0,13.0
211,22.0,8.0
212,27.0,13.0
213,12.0,10.0
214,25.0,15.0
215,30.0,10.0
216,23.0,16.0
217,28.0,20.0
218,20.0,9.0
219,23.0,8.0
220,18.0,18.0
221,25.0,12.0
222,28.0,3.0
223,23.0,10.0
224,23.0,15.0
225,27.0,11.0
226,25.0,8.0
227,26.0,12.0
228,29.0,8.0
229,30.0,8.0
230,19.0,4.0
231,29.0,7.0
232,16.0,5.0
233,20.0,3.0
234,27.0,10.0
235,21.0,11.0
236,29.0,15.0
237,21.0,12.0
238,25.0,7.0
239,23.0,7.0
240,23.0,7.0
241,32.0,22.0
242,23.0,10.0
243,21.0,9.0
244,17.0,10.0
245,18.0,14.0
246,22.0,10.0
247,28.0,10.0
248,16.0,4.0
249,23.0,7.0
250,18.0,13.0
251,22.0,7.0
252,28.0,10.0
253,19.0,12.0
254,29.0,11.0
255,20.0,8.0
256,26.0,9.0
257,14.0,12.0
258,24.0,11.0
259,10.0,11.0
260,19.0,8.0
261,23.0,13.0
262,18.0,9.0
263,17.0,16.0
264,31.0,16.0
265,24.0,10.0
266,30.0,11.0
267,26.0,11.0
268,24.0,11.0
269,21.0,12.0
270,25.0,12.0
271,17.0,20.0
272,26.0,11.0
273,15.0,12.0
274,22.0,9.0
275,28.0,9.0
276,30.0,9.0
277,17.0,8.0
278,23.0,17.0
279,23.0,16.0
280,22.0,10.0
281,28.0,12.0
282,29.0,12.0
283,20.0,11.0
284,24.0,11.0
285,32.0,8.0
286,18.0,11.0
287,21.0,10.0
288,23.0,18.0
289,22.0,13.0
290,19.0,15.0
291,24.0,11.0
292,24.0,4.0
293,30.0,11.0
294,22.0,7.0
295,30.0,11.0
296,23.0,11.0
297,23.0,11.0
298,20.0,8.0
299,27.0,11.0
300,21.0,9.0
301,24.0,13.0
302,26.0,12.0
303,23.0,13.0
304,25.0,13.0
305,14.0,8.0
306,22.0,11.0
307,22.0,15.0
308,17.0,9.0
309,18.0,12.0
310,20.0,13.0
311,20.0,15.0
312,22.0,13.0
313,29.0,11.0
314,30.0,9.0
315,26.0,7.0
316,30.0,14.0
317,17.0,9.0
318,22.0,13.0
319,14.0,13.0
320,24.0,8.0
321,22.0,18.0
322,27.0,15.0
323,23.0,9.0
324,31.0,12.0
325,20.0,8.0
326,21.0,15.0
327,35.0,10.0
328,20.0,14.0
329,23.0,10.0
330,29.0,11.0
331,17.0,9.0
332,24.0,8.0
333,27.0,7.0
334,26.0,13.0
335,23.0,7.0
336,21.0,12.0
337,18.0,12.0
338,21.0,16.0
