,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
0,112.0,183.0
1,117.0,195.0
2,137.0,194.0
3,109.0,194.0
4,113.0,190.0
5,123.0,139.0
6,95.0,158.0
7,124.0,182.0
8,120.0,175.0
9,125.0,164.0
10,108.0,173.0
11,119.0,165.0
12,94.0,160.0
13,102.0,199.0
14,118.0,158.0
15,114.0,185.0
16,117.0,177.0
17,115.0,184.0
18,101.0,169.0
19,105.0,162.0
20,93.0,188.0
21,113.0,179.0
22,120.0,170.0
23,108.0,177.0
24,141.0,175.0
25,126.0,181.0
26,127.0,189.0
27,119.0,148.0
28,120.0,182.0
29,121.0,192.0
30,118.0,194.0
31,120.0,174.0
32,127.0,202.0
33,118.0,176.0
34,113.0,200.0
35,117.0,182.0
36,113.0,180.0
37,100.0,172.0
38,119.0,193.0
39,109.0,191.0
40,114.0,185.0
41,117.0,171.0
42,102.0,193.0
43,117.0,239.0
44,133.0,205.0
45,133.0,205.0
46,114.0,199.0
47,119.0,195.0
48,122.0,184.0
49,115.0,173.0
50,103.0,158.0
51,110.0,186.0
52,141.0,189.0
53,128.0,181.0
54,100.0,205.0
55,111.0,190.0
56,111.0,175.0
57,122.0,223.0
58,124.0,195.0
59,120.0,197.0
60,111.0,186.0
61,109.0,185.0
62,115.0,150.0
63,72.0,197.0
64,120.0,192.0
65,128.0,182.0
66,133.0,218.0
67,114.0,191.0
68,132.0,202.0
69,152.0,193.0
70,127.0,189.0
71,116.0,192.0
72,127.0,215.0
73,114.0,223.0
74,149.0,218.0
75,126.0,230.0
76,109.0,213.0
77,120.0,218.0
78,142.0,235.0
79,123.0,218.0
80,117.0,218.0
81,113.0,223.0
82,133.0,206.0
83,136.0,226.0
84,129.0,204.0
85,131.0,185.0
86,102.0,220.0
87,145.0,199.0
88,127.0,229.0
89,135.0,205.0
90,142.0,201.0
91,135.0,203.0
92,162.0,199.0
93,159.0,224.0
94,130.0,186.0
95,139.0,212.0
96,111.0,197.0
97,129.0,193.0
98,114.0,202.0
99,113.0,191.0
100,138.0,199.0
101,141.0,206.0
102,114.0,226.0
103,135.0,262.0
104,167.0,257.0
105,146.0,228.0
106,146.0,251.0
107,151.0,211.0
108,146.0,243.0
109,125.0,226.0
110,160.0,236.0
111,128.0,183.0
112,139.0,209.0
113,138.0,229.0
114,119.0,207.0
115,174.0,229.0
116,152.0,234.0
117,112.0,233.0
118,132.0,198.0
119,115.0,250.0
120,138.0,212.0
121,117.0,231.0
122,121.0,214.0
123,126.0,213.0
124,111.0,222.0
125,121.0,211.0
126,115.0,228.0
127,123.0,239.0
128,145.0,208.0
129,127.0,248.0
130,128.0,248.0
131,130.0,242.0
132,140.0,201.0
133,142.0,242.0
134,126.0,220.0
135,138.0,225.0
