,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
0,150.0,325.0,58.0,43.0
1,149.0,229.0,80.0,41.0
2,132.0,196.0,56.0,38.0
3,149.0,213.0,60.0,40.0
4,142.0,199.0,78.0,43.0
5,138.0,198.0,70.0,42.0
6,141.0,199.0,71.0,39.0
7,120.0,194.0,80.0,35.0
8,142.0,203.0,77.0,44.0
9,172.0,200.0,58.0,40.0
10,150.0,232.0,46.0,37.0
11,152.0,223.0,56.0,45.0
12,138.0,230.0,70.0,31.0
13,129.0,209.0,53.0,51.0
14,128.0,202.0,61.0,37.0
15,144.0,195.0,48.0,38.0
16,145.0,192.0,75.0,36.0
17,127.0,193.0,61.0,41.0
18,125.0,210.0,55.0,44.0
19,138.0,225.0,48.0,68.0
20,117.0,195.0,65.0,44.0
21,147.0,200.0,64.0,39.0
22,147.0,210.0,58.0,48.0
23,133.0,207.0,68.0,43.0
24,140.0,204.0,55.0,49.0
25,119.0,256.0,60.0,45.0
26,143.0,198.0,58.0,44.0
27,141.0,196.0,65.0,41.0
28,156.0,207.0,62.0,38.0
29,161.0,197.0,57.0,33.0
30,128.0,212.0,55.0,48.0
31,138.0,190.0,61.0,39.0
32,129.0,226.0,60.0,44.0
33,154.0,205.0,68.0,53.0
34,142.0,208.0,68.0,56.0
35,167.0,225.0,47.0,47.0
36,140.0,204.0,69.0,37.0
37,154.0,211.0,55.0,31.0
38,160.0,233.0,68.0,32.0
39,150.0,203.0,65.0,39.0
40,153.0,203.0,66.0,32.0
41,156.0,211.0,68.0,34.0
42,158.0,221.0,60.0,36.0
43,139.0,214.0,79.0,42.0
44,130.0,226.0,60.0,50.0
45,163.0,236.0,75.0,45.0
46,170.0,205.0,79.0,35.0
47,145.0,214.0,65.0,41.0
48,156.0,239.0,62.0,48.0
49,116.0,193.0,67.0,43.0
50,154.0,200.0,55.0,30.0
51,148.0,230.0,71.0,40.0
52,138.0,205.0,75.0,42.0
53,157.0,192.0,58.0,41.0
54,159.0,226.0,72.0,42.0
55,152.0,253.0,68.0,42.0
56,126.0,226.0,88.0,33.0
57,154.0,253.0,88.0,48.0
58,158.0,213.0,95.0,48.0
59,152.0,239.0,116.0,45.0
60,170.0,264.0,251.0,42.0
61,134.0,223.0,329.0,38.0
62,141.0,231.0,251.0,54.0
63,150.0,226.0,238.0,37.0
64,158.0,225.0,268.0,33.0
65,155.0,242.0,211.0,34.0
66,151.0,264.0,235.0,45.0
67,155.0,250.0,174.0,40.0
68,151.0,322.0,281.0,43.0
69,166.0,388.0,338.0,40.0
70,145.0,365.0,320.0,35.0
71,154.0,310.0,308.0,33.0
72,146.0,286.0,284.0,47.0
73,167.0,438.0,271.0,37.0
74,181.0,427.0,310.0,38.0
75,183.0,339.0,217.0,41.0
76,165.0,371.0,239.0,48.0
77,151.0,249.0,260.0,49.0
78,137.0,436.0,250.0,55.0
79,151.0,421.0,243.0,58.0
80,165.0,400.0,272.0,41.0
81,152.0,373.0,230.0,45.0
82,146.0,454.0,223.0,45.0
83,185.0,290.0,189.0,51.0
84,154.0,385.0,164.0,42.0
85,157.0,232.0,127.0,45.0
86,147.0,220.0,118.0,48.0
87,147.0,240.0,129.0,50.0
88,158.0,231.0,155.0,40.0
89,157.0,244.0,129.0,37.0
90,140.0,220.0,128.0,52.0
91,167.0,236.0,119.0,42.0
92,140.0,249.0,79.0,40.0
93,138.0,218.0,81.0,49.0
94,144.0,220.0,97.0,39.0
95,167.0,251.0,97.0,38.0
96,126.0,240.0,90.0,49.0
97,157.0,250.0,107.0,43.0
98,146.0,207.0,96.0,42.0
99,159.0,232.0,90.0,36.0
100,182.0,235.0,92.0,60.0
101,162.0,226.0,83.0,42.0
102,160.0,237.0,116.0,44.0
103,156.0,218.0,104.0,51.0
104,140.0,257.0,108.0,43.0
105,166.0,223.0,125.0,48.0
106,159.0,252.0,101.0,54.0
107,144.0,223.0,96.0,51.0
108,146.0,252.0,108.0,44.0
109,161.0,248.0,83.0,37.0
110,168.0,224.0,102.0,41.0
111,164.0,220.0,94.0,39.0
112,181.0,227.0,109.0,48.0
113,169.0,238.0,105.0,55.0
114,159.0,254.0,105.0,54.0
115,187.0,325.0,96.0,50.0
116,168.0,281.0,96.0,92.0
117,183.0,264.0,102.0,55.0
118,154.0,268.0,109.0,57.0
119,161.0,253.0,94.0,50.0
