,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
0,164.0,59.0,175.0,37.0
1,162.0,57.0,173.0,33.0
2,164.0,49.0,197.0,45.0
3,145.0,67.0,227.0,46.0
4,164.0,64.0,211.0,51.0
5,141.0,50.0,149.0,41.0
6,106.0,37.0,199.0,28.0
7,156.0,49.0,183.0,46.0
8,143.0,71.0,212.0,39.0
9,159.0,52.0,200.0,39.0
10,147.0,67.0,200.0,46.0
11,174.0,73.0,204.0,43.0
12,150.0,42.0,192.0,38.0
13,147.0,57.0,223.0,39.0
14,168.0,61.0,227.0,50.0
15,165.0,57.0,184.0,57.0
16,146.0,63.0,202.0,41.0
17,153.0,48.0,200.0,38.0
18,163.0,59.0,200.0,40.0
19,166.0,60.0,210.0,34.0
20,147.0,47.0,186.0,41.0
21,162.0,53.0,162.0,56.0
22,160.0,44.0,178.0,49.0
23,155.0,69.0,223.0,34.0
24,150.0,48.0,224.0,47.0
25,149.0,50.0,209.0,36.0
26,143.0,61.0,219.0,57.0
27,169.0,67.0,217.0,41.0
28,126.0,62.0,219.0,34.0
29,170.0,67.0,208.0,38.0
30,156.0,69.0,224.0,38.0
31,149.0,58.0,212.0,41.0
32,166.0,52.0,215.0,40.0
33,146.0,66.0,297.0,50.0
34,157.0,47.0,254.0,41.0
35,146.0,71.0,248.0,49.0
36,159.0,60.0,246.0,39.0
37,163.0,58.0,205.0,36.0
38,158.0,47.0,236.0,46.0
39,146.0,60.0,221.0,29.0
40,156.0,72.0,234.0,39.0
41,169.0,63.0,223.0,33.0
42,168.0,57.0,251.0,45.0
43,157.0,54.0,249.0,43.0
44,144.0,53.0,222.0,35.0
45,160.0,45.0,223.0,43.0
46,141.0,58.0,204.0,55.0
47,148.0,48.0,209.0,37.0
48,159.0,54.0,239.0,27.0
49,165.0,76.0,225.0,41.0
50,187.0,64.0,224.0,46.0
51,164.0,55.0,240.0,52.0
52,165.0,61.0,241.0,54.0
53,166.0,65.0,253.0,45.0
54,172.0,81.0,225.0,40.0
55,174.0,61.0,232.0,60.0
56,163.0,67.0,219.0,42.0
57,156.0,78.0,197.0,50.0
58,193.0,57.0,251.0,36.0
59,166.0,48.0,227.0,35.0
60,139.0,60.0,225.0,50.0
61,161.0,68.0,219.0,45.0
62,163.0,64.0,234.0,28.0
63,161.0,54.0,233.0,50.0
64,176.0,65.0,228.0,38.0
65,160.0,80.0,212.0,44.0
66,154.0,54.0,227.0,52.0
67,173.0,65.0,193.0,38.0
68,156.0,78.0,234.0,36.0
69,172.0,76.0,262.0,50.0
70,181.0,61.0,235.0,44.0
71,195.0,61.0,255.0,47.0
72,181.0,67.0,232.0,39.0
73,151.0,69.0,237.0,47.0
74,160.0,52.0,216.0,40.0
75,181.0,70.0,234.0,48.0
76,195.0,68.0,243.0,44.0
77,162.0,65.0,224.0,51.0
78,185.0,63.0,218.0,45.0
79,194.0,59.0,227.0,54.0
80,192.0,67.0,214.0,49.0
81,172.0,53.0,255.0,32.0
82,191.0,55.0,223.0,61.0
83,172.0,62.0,212.0,45.0
84,157.0,72.0,234.0,50.0
85,170.0,74.0,239.0,59.0
86,173.0,60.0,251.0,43.0
87,160.0,67.0,248.0,51.0
88,181.0,59.0,216.0,42.0
89,192.0,76.0,261.0,54.0
90,175.0,47.0,228.0,66.0
91,173.0,67.0,237.0,47.0
92,177.0,60.0,237.0,37.0
93,183.0,55.0,295.0,40.0
94,182.0,59.0,284.0,49.0
95,142.0,69.0,267.0,59.0
96,164.0,65.0,250.0,57.0
97,153.0,68.0,256.0,42.0
98,143.0,56.0,240.0,48.0
99,189.0,76.0,243.0,40.0
100,162.0,73.0,249.0,50.0
101,162.0,61.0,220.0,48.0
102,189.0,69.0,274.0,49.0
103,149.0,66.0,259.0,35.0
104,169.0,67.0,223.0,47.0
105,176.0,52.0,248.0,49.0
106,180.0,68.0,252.0,44.0
107,192.0,55.0,298.0,50.0
108,179.0,64.0,305.0,56.0
109,164.0,70.0,270.0,49.0
110,178.0,59.0,282.0,47.0
111,174.0,71.0,269.0,37.0
112,168.0,71.0,258.0,47.0
113,177.0,64.0,278.0,40.0
114,152.0,69.0,274.0,52.0
115,194.0,77.0,258.0,41.0
116,177.0,70.0,284.0,63.0
117,177.0,66.0,271.0,52.0
118,170.0,72.0,300.0,71.0
119,195.0,69.0,294.0,48.0
120,206.0,61.0,274.0,55.0
121,171.0,75.0,241.0,47.0
122,183.0,62.0,253.0,68.0
123,168.0,56.0,310.0,47.0
124,189.0,67.0,261.0,49.0
