,helicopter_psi,helicopter_theta
0,1.7314,-0.13385999999999998
1,1.7071,-0.12374
2,1.7079,-0.12455
3,1.7305,-0.13184
4,1.7249,-0.12941
5,1.7071,-0.12090999999999999
6,1.7322,-0.13305
7,1.7273,-0.13467
8,1.7289,-0.13062
9,1.7233,-0.13224
10,1.733,-0.13265
11,1.7233,-0.129
12,1.7103,-0.12293
13,1.72,-0.12697999999999998
14,1.7022,-0.12090999999999999
15,1.716,-0.11929000000000001
16,1.7152,-0.11848
17,1.7152,-0.11848
18,1.7014,-0.11484000000000001
19,1.7022,-0.11484000000000001
20,1.7087,-0.11848
21,1.7087,-0.11807000000000001
22,1.716,-0.12212
23,1.7233,-0.12577
24,1.7054,-0.11646
25,1.7192,-0.12374
26,1.7103,-0.11605
27,1.7135,-0.11725999999999999
28,1.7143,-0.11888
29,1.7046,-0.11079000000000001
30,1.7103,-0.11322
31,1.7168,-0.11322
32,1.7184,-0.11685999999999999
33,1.7071,-0.10876
34,1.733,-0.12130999999999999
35,1.733,-0.12130999999999999
36,1.7135,-0.11484000000000001
37,1.7022,-0.10835999999999998
38,1.7135,-0.11484000000000001
39,1.733,-0.12130999999999999
40,1.7103,-0.11281
41,1.7054,-0.10795
42,1.7054,-0.10795
43,1.7322,-0.12090999999999999
44,1.7241,-0.11685999999999999
45,1.7338,-0.11565
46,1.7135,-0.10876
47,1.7314,-0.11442999999999999
48,1.7273,-0.11241
49,1.7103,-0.10674000000000002
50,1.7022,-0.10269
51,1.7208,-0.10835999999999998
52,1.7143,-0.10634
53,1.7192,-0.10835999999999998
54,1.7322,-0.11484000000000001
55,1.7314,-0.11402999999999999
56,1.7314,-0.11442999999999999
57,1.7054,-0.10188
58,1.7273,-0.11646
59,1.7281,-0.11241
60,1.7103,-0.10390999999999999
61,1.7241,-0.10957
62,1.7241,-0.10957
63,1.7176,-0.10472000000000001
64,1.7071,-0.096215
65,1.716,-0.1035
66,1.703,-0.097025
67,1.7143,-0.099858
68,1.7079,-0.10026
69,1.733,-0.10957
70,1.7046,-0.09540599999999999
71,1.7233,-0.099049
72,1.7063,-0.089738
73,1.7022,-0.09095299999999999
74,1.7314,-0.10390999999999999
75,1.7314,-0.10390999999999999
76,1.7135,-0.097025
77,1.7087,-0.09095299999999999
78,1.7192,-0.099454
79,1.703,-0.090143
80,1.703,-0.090143
81,1.7265,-0.099454
82,1.72,-0.09662000000000001
83,1.7046,-0.089334
84,1.7071,-0.090548
85,1.7216,-0.09742999999999999
86,1.7224,-0.09742999999999999
87,1.716,-0.087714
88,1.7192,-0.089738
89,1.7305,-0.09581
90,1.7224,-0.09581
91,1.7265,-0.09742999999999999
92,1.72,-0.09095299999999999
93,1.7305,-0.096215
94,1.7184,-0.089738
95,1.703,-0.08366599999999999
96,1.7289,-0.09864400000000001
97,1.7216,-0.09095299999999999
98,1.7216,-0.09095299999999999
99,1.7224,-0.091762
100,1.7208,-0.09095299999999999
101,1.7241,-0.092572
102,1.7184,-0.089738
103,1.733,-0.09742999999999999
104,1.7135,-0.09095299999999999
105,1.7184,-0.089738
106,1.7046,-0.083262
107,1.7249,-0.092167
108,1.703,-0.08366599999999999
109,1.7249,-0.09135800000000001
110,1.7095,-0.07921399999999999
111,1.7143,-0.084881
112,1.7297,-0.091762
113,1.7305,-0.089738
114,1.7127,-0.080428
115,1.7168,-0.082857
116,1.72,-0.088119
117,1.7289,-0.092572
118,1.7322,-0.09135800000000001
119,1.7111,-0.079618
120,1.7184,-0.08731
121,1.7111,-0.083262
122,1.733,-0.09095299999999999
123,1.7046,-0.079618
124,1.7152,-0.085286
125,1.7152,-0.085286
126,1.7241,-0.08569
127,1.7224,-0.089334
128,1.7046,-0.076785
129,1.7289,-0.088524
130,1.7135,-0.084476
131,1.7184,-0.08366599999999999
132,1.7273,-0.088524
133,1.7022,-0.078404
134,1.7038,-0.079618
135,1.7208,-0.084881
136,1.7022,-0.083262
137,1.7152,-0.091762
138,1.7087,-0.084476
139,1.7322,-0.09742999999999999
140,1.7224,-0.095001
141,1.7249,-0.09662000000000001
142,1.7184,-0.090143
143,1.7184,-0.090143
144,1.7135,-0.08731
145,1.7022,-0.09095299999999999
146,1.7265,-0.1031
147,1.7111,-0.092167
148,1.7087,-0.094191
149,1.7054,-0.088929
150,1.7063,-0.09540599999999999
151,1.7038,-0.097025
152,1.7216,-0.1031
153,1.72,-0.1031
154,1.733,-0.10835999999999998
155,1.7063,-0.099049
156,1.7071,-0.10553
157,1.7176,-0.11037999999999999
158,1.7143,-0.11199999999999999
159,1.7273,-0.11848
160,1.7281,-0.12374
161,1.7281,-0.12374
162,1.72,-0.12090999999999999
163,1.7273,-0.12374
164,1.7143,-0.11848
165,1.7273,-0.13427
166,1.7208,-0.12738
167,1.7192,-0.12697999999999998
168,1.7103,-0.12658
169,1.7038,-0.12536
170,1.7249,-0.13790999999999998
171,1.7233,-0.13467
172,1.7071,-0.13467
173,1.7103,-0.13548
174,1.7281,-0.14681
175,1.703,-0.13143
176,1.7184,-0.14601
177,1.7168,-0.14640999999999998
178,1.7273,-0.15127000000000002
179,1.7257,-0.15693
180,1.7071,-0.14640999999999998
181,1.7143,-0.15086
182,1.7127,-0.15450999999999998
183,1.7257,-0.16301
184,1.703,-0.15734
185,1.7233,-0.16827
186,1.7257,-0.16665
187,1.7241,-0.16625
188,1.7241,-0.16625
189,1.7192,-0.16948
190,1.7297,-0.17717
191,1.7119,-0.17272
192,1.7249,-0.17839000000000002
193,1.7119,-0.17394
194,1.7305,-0.18001
195,1.7289,-0.1881
196,1.7152,-0.18203
197,1.7111,-0.18445999999999999
198,1.703,-0.18082
199,1.7038,-0.18162999999999999
200,1.7289,-0.19377
201,1.7224,-0.19539
202,1.716,-0.19296
203,1.7176,-0.19296
204,1.733,-0.20592
205,1.703,-0.19255999999999998
206,1.703,-0.19255999999999998
207,1.7071,-0.1958
208,1.7119,-0.20995999999999998
209,1.7168,-0.21158000000000002
210,1.7127,-0.21441999999999997
211,1.7168,-0.21806
212,1.716,-0.21846
213,1.7143,-0.21725
214,1.7289,-0.22776999999999997
215,1.7152,-0.22413000000000002
216,1.7152,-0.22737
217,1.7079,-0.22494
218,1.7103,-0.22737
219,1.703,-0.22291999999999998
220,1.7249,-0.24073000000000003
221,1.7314,-0.24194000000000002
222,1.7111,-0.23911
223,1.7135,-0.24154
224,1.7135,-0.24154
225,1.7184,-0.24235
226,1.7168,-0.24356
227,1.7273,-0.25166
228,1.7233,-0.25571
229,1.7054,-0.24761
230,1.733,-0.26056
231,1.72,-0.25611
232,1.7305,-0.26583
233,1.7054,-0.26016
234,1.7184,-0.26744
235,1.716,-0.26664
236,1.7071,-0.26866
237,1.7281,-0.27716
238,1.7054,-0.26664
239,1.703,-0.27310999999999996
240,1.7192,-0.2804
241,1.7176,-0.28364
242,1.7071,-0.28160999999999997
243,1.7273,-0.28849
244,1.7208,-0.28647
245,1.7087,-0.28565999999999997
246,1.7241,-0.29578000000000004
247,1.7152,-0.29496999999999995
248,1.7297,-0.30388000000000004
249,1.7022,-0.29214
250,1.7022,-0.29214
251,1.7022,-0.29214
252,1.7281,-0.30751999999999996
253,1.7216,-0.3055
254,1.7184,-0.30711
255,1.7046,-0.30995
256,1.7216,-0.31764000000000003
257,1.7071,-0.31319
258,1.72,-0.3225
259,1.7273,-0.32574000000000003
260,1.7224,-0.32371
261,1.7095,-0.31966
262,1.7022,-0.3229
263,1.7249,-0.33019
264,1.7168,-0.32816
265,1.7111,-0.32776
266,1.7216,-0.33626
267,1.7111,-0.33261999999999997
268,1.733,-0.34517
269,1.733,-0.34517
270,1.7063,-0.33464
271,1.7224,-0.34274
272,1.72,-0.34152
273,1.7087,-0.33383
274,1.7038,-0.34193
275,1.7063,-0.34314
276,1.7184,-0.34719
277,1.703,-0.34638
278,1.7297,-0.35569
279,1.7289,-0.35569
280,1.7014,-0.348
281,1.7322,-0.36338000000000004
282,1.7038,-0.35488000000000003
283,1.7249,-0.36095
284,1.733,-0.365
285,1.7168,-0.36419
286,1.7224,-0.36622
287,1.7224,-0.36622
288,1.7103,-0.35812
289,1.7103,-0.36743000000000003
290,1.7322,-0.37553000000000003
291,1.7111,-0.365
292,1.7022,-0.36622
293,1.7184,-0.37148000000000003
294,1.7119,-0.36541
295,1.7314,-0.382
296,1.7322,-0.38240999999999997
297,1.716,-0.37431
298,1.7079,-0.37431
299,1.7022,-0.37715
300,1.716,-0.38281
301,1.7216,-0.38361999999999996
302,1.7184,-0.38361999999999996
303,1.7184,-0.38605
304,1.7265,-0.39211999999999997
305,1.7079,-0.38361999999999996
306,1.7054,-0.3901
307,1.7249,-0.39779000000000003
308,1.7265,-0.39899999999999997
309,1.7176,-0.39576999999999996
310,1.7054,-0.39211999999999997
311,1.7297,-0.40305
312,1.7224,-0.40224
313,1.7103,-0.39536
314,1.7103,-0.39536
315,1.7216,-0.40143
316,1.7079,-0.39576999999999996
317,1.7022,-0.39738
318,1.7281,-0.40871999999999997
319,1.7143,-0.4071
