,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
0,18.0,16.0,5.0
1,22.0,22.0,7.0
2,22.0,22.0,7.0
3,37.0,20.0,13.0
4,37.0,20.0,13.0
5,52.0,21.0,15.0
6,52.0,21.0,15.0
7,52.0,36.0,14.0
8,52.0,36.0,14.0
9,58.0,56.0,13.0
10,58.0,56.0,13.0
11,74.0,66.0,10.0
12,74.0,66.0,10.0
13,81.0,64.0,7.0
14,81.0,64.0,7.0
15,102.0,60.0,7.0
16,102.0,60.0,7.0
17,102.0,60.0,9.0
18,102.0,60.0,9.0
19,118.0,47.0,10.0
20,118.0,47.0,10.0
21,144.0,40.0,10.0
22,144.0,40.0,10.0
23,146.0,39.0,9.0
24,146.0,39.0,9.0
25,134.0,46.0,8.0
26,134.0,46.0,8.0
27,159.0,45.0,11.0
28,159.0,45.0,11.0
29,173.0,50.0,11.0
30,173.0,50.0,11.0
31,192.0,66.0,8.0
32,192.0,66.0,8.0
33,200.0,51.0,9.0
34,200.0,51.0,9.0
35,188.0,30.0,24.0
36,188.0,30.0,24.0
37,174.0,29.0,33.0
38,174.0,29.0,33.0
39,158.0,40.0,6.0
40,158.0,40.0,6.0
41,161.0,50.0,5.0
42,161.0,50.0,5.0
43,135.0,68.0,7.0
44,135.0,68.0,7.0
45,135.0,109.0,14.0
46,135.0,109.0,14.0
47,166.0,132.0,0.0
48,166.0,132.0,0.0
49,172.0,127.0,12.0
50,172.0,127.0,12.0
51,126.0,129.0,12.0
52,126.0,129.0,12.0
53,174.0,124.0,0.0
54,174.0,124.0,0.0
55,216.0,94.0,0.0
56,216.0,94.0,0.0
57,142.0,94.0,11.0
58,142.0,94.0,11.0
59,130.0,75.0,11.0
60,130.0,75.0,11.0
61,71.0,61.0,0.0
62,71.0,61.0,0.0
63,100.0,91.0,0.0
64,100.0,91.0,0.0
65,96.0,114.0,0.0
66,96.0,114.0,0.0
67,82.0,110.0,0.0
68,82.0,110.0,0.0
69,33.0,94.0,0.0
70,33.0,94.0,0.0
71,33.0,0.0,0.0
72,33.0,0.0,0.0
73,33.0,0.0,10.0
74,33.0,0.0,10.0
75,49.0,0.0,10.0
76,49.0,0.0,10.0
77,64.0,0.0,8.0
78,64.0,0.0,8.0
79,66.0,0.0,8.0
80,66.0,0.0,8.0
81,59.0,0.0,47.0
82,59.0,0.0,47.0
83,63.0,17.0,25.0
84,63.0,17.0,25.0
85,58.0,18.0,16.0
86,58.0,18.0,16.0
87,71.0,26.0,19.0
88,71.0,26.0,19.0
