,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
0,124.0,0.0,16.0
1,124.0,6.0,16.0
2,127.0,6.0,0.0
3,127.0,6.0,0.0
4,91.0,6.0,0.0
5,91.0,0.0,0.0
6,69.0,0.0,1.0
7,69.0,12.0,1.0
8,131.0,12.0,1.0
9,131.0,30.0,1.0
10,32.0,30.0,1.0
11,32.0,32.0,1.0
12,30.0,32.0,0.0
13,30.0,26.0,0.0
14,25.0,26.0,0.0
15,25.0,9.0,0.0
16,16.0,9.0,0.0
17,16.0,9.0,0.0
18,22.0,9.0,2.0
19,22.0,17.0,2.0
20,28.0,17.0,1.0
21,28.0,17.0,1.0
22,34.0,17.0,0.0
23,34.0,22.0,0.0
24,47.0,22.0,0.0
25,47.0,27.0,0.0
26,44.0,27.0,0.0
27,44.0,45.0,0.0
28,42.0,45.0,4.0
29,42.0,26.0,4.0
30,51.0,26.0,3.0
31,51.0,18.0,3.0
32,62.0,18.0,4.0
33,62.0,8.0,4.0
34,46.0,8.0,12.0
35,46.0,17.0,12.0
36,55.0,17.0,16.0
37,55.0,21.0,16.0
38,71.0,21.0,10.0
39,71.0,19.0,10.0
40,81.0,19.0,2.0
41,81.0,19.0,2.0
42,85.0,19.0,10.0
43,85.0,23.0,10.0
44,66.0,23.0,7.0
45,66.0,16.0,7.0
46,78.0,16.0,5.0
47,78.0,8.0,5.0
48,97.0,8.0,8.0
49,97.0,11.0,8.0
50,109.0,11.0,9.0
51,109.0,13.0,9.0
52,106.0,13.0,11.0
53,106.0,14.0,11.0
54,117.0,14.0,14.0
55,117.0,8.0,14.0
56,132.0,8.0,8.0
57,132.0,8.0,8.0
58,141.0,8.0,9.0
59,141.0,20.0,9.0
60,132.0,20.0,7.0
61,132.0,20.0,7.0
62,133.0,20.0,10.0
63,133.0,13.0,10.0
64,148.0,13.0,11.0
65,148.0,11.0,11.0
66,131.0,11.0,13.0
67,131.0,11.0,13.0
68,133.0,11.0,16.0
69,133.0,13.0,16.0
70,136.0,13.0,18.0
71,136.0,17.0,18.0
72,148.0,17.0,23.0
73,148.0,22.0,23.0
74,137.0,22.0,21.0
75,137.0,18.0,21.0
76,142.0,18.0,15.0
77,142.0,20.0,15.0
78,134.0,20.0,12.0
79,134.0,25.0,12.0
80,128.0,25.0,12.0
81,128.0,24.0,12.0
82,171.0,24.0,9.0
83,171.0,21.0,9.0
84,207.0,21.0,7.0
85,207.0,20.0,7.0
86,179.0,20.0,4.0
87,179.0,17.0,4.0
88,176.0,17.0,2.0
89,176.0,16.0,2.0
90,104.0,16.0,6.0
91,104.0,13.0,6.0
92,104.0,13.0,5.0
93,104.0,0.0,5.0
94,88.0,0.0,3.0
95,88.0,0.0,3.0
96,85.0,0.0,4.0
97,85.0,8.0,4.0
98,68.0,8.0,1.0
99,68.0,12.0,1.0
100,44.0,12.0,4.0
101,44.0,26.0,4.0
102,38.0,26.0,4.0
103,38.0,27.0,4.0
104,60.0,27.0,8.0
105,60.0,29.0,8.0
106,55.0,29.0,10.0
107,55.0,35.0,10.0
108,58.0,35.0,10.0
109,58.0,25.0,10.0
110,26.0,25.0,12.0
111,26.0,25.0,12.0
112,37.0,25.0,14.0
113,37.0,3.0,14.0
114,43.0,3.0,19.0
115,43.0,3.0,19.0
116,60.0,3.0,16.0
117,60.0,4.0,16.0
118,64.0,4.0,18.0
119,64.0,13.0,18.0
120,62.0,13.0,25.0
121,62.0,20.0,25.0
122,66.0,20.0,24.0
123,66.0,17.0,24.0
124,87.0,17.0,13.0
125,87.0,9.0,13.0
126,83.0,9.0,10.0
127,83.0,17.0,10.0
128,53.0,17.0,9.0
129,53.0,21.0,9.0
130,48.0,21.0,8.0
131,48.0,22.0,8.0
132,50.0,22.0,8.0
133,50.0,23.0,8.0
134,48.0,23.0,12.0
135,48.0,27.0,12.0
136,57.0,27.0,15.0
137,57.0,31.0,15.0
138,86.0,31.0,12.0
139,86.0,44.0,12.0
140,107.0,44.0,9.0
141,107.0,35.0,9.0
142,79.0,35.0,12.0
143,79.0,35.0,12.0
144,68.0,35.0,22.0
145,68.0,43.0,22.0
146,78.0,43.0,0.0
147,78.0,42.0,0.0
148,63.0,42.0,0.0
149,63.0,52.0,0.0
150,58.0,52.0,1.0
151,58.0,64.0,1.0
152,65.0,64.0,2.0
153,65.0,46.0,2.0
154,81.0,46.0,3.0
155,81.0,38.0,3.0
156,91.0,38.0,1.0
157,91.0,46.0,1.0
158,82.0,46.0,0.0
159,82.0,42.0,0.0
160,99.0,42.0,6.0
161,99.0,34.0,6.0
162,109.0,34.0,3.0
163,109.0,30.0,3.0
164,112.0,30.0,2.0
165,112.0,21.0,2.0
166,113.0,21.0,2.0
167,113.0,21.0,2.0
168,114.0,21.0,5.0
169,114.0,24.0,5.0
170,116.0,24.0,8.0
171,116.0,31.0,8.0
172,144.0,31.0,15.0
173,144.0,28.0,15.0
174,187.0,28.0,15.0
175,187.0,37.0,15.0
176,183.0,37.0,17.0
177,183.0,42.0,17.0
178,100.0,42.0,17.0
179,100.0,34.0,17.0
180,132.0,34.0,0.0
181,132.0,27.0,0.0
182,127.0,27.0,0.0
183,127.0,41.0,0.0
184,94.0,41.0,0.0
185,94.0,45.0,0.0
186,54.0,45.0,0.0
187,54.0,43.0,0.0
188,59.0,43.0,0.0
189,59.0,11.0,0.0
190,46.0,11.0,0.0
191,46.0,16.0,0.0
192,31.0,16.0,0.0
193,31.0,28.0,0.0
194,26.0,28.0,0.0
195,26.0,35.0,0.0
196,31.0,35.0,0.0
197,31.0,36.0,0.0
198,41.0,36.0,0.0
199,41.0,0.0,0.0
200,25.0,0.0,0.0
201,25.0,0.0,0.0
202,25.0,0.0,0.0
203,25.0,19.0,0.0
204,21.0,19.0,0.0
205,21.0,19.0,0.0
206,24.0,19.0,0.0
207,24.0,4.0,0.0
208,36.0,4.0,0.0
209,36.0,12.0,0.0
210,35.0,12.0,4.0
211,35.0,19.0,4.0
212,37.0,19.0,4.0
213,37.0,33.0,4.0
214,60.0,33.0,9.0
215,60.0,47.0,9.0
216,61.0,47.0,14.0
217,61.0,42.0,14.0
218,58.0,42.0,15.0
219,58.0,17.0,15.0
220,62.0,17.0,3.0
221,62.0,6.0,3.0
222,80.0,6.0,3.0
223,80.0,5.0,3.0
224,77.0,5.0,0.0
225,77.0,10.0,0.0
