,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_athens
0,82.0,26.0,2.0,16.0,14.0,77.0,22.0,66.0,20.0,38.0
1,72.0,23.0,2.0,15.0,9.0,96.0,28.0,70.0,28.0,38.0
2,72.0,23.0,2.0,15.0,9.0,96.0,28.0,70.0,28.0,38.0
3,68.0,14.0,3.0,13.0,11.0,86.0,31.0,74.0,32.0,35.0
4,68.0,14.0,3.0,13.0,11.0,86.0,31.0,74.0,32.0,35.0
5,73.0,20.0,5.0,13.0,14.0,77.0,38.0,74.0,45.0,41.0
6,73.0,20.0,5.0,13.0,14.0,77.0,38.0,74.0,45.0,41.0
7,87.0,32.0,7.0,16.0,19.0,80.0,48.0,82.0,49.0,45.0
8,87.0,32.0,7.0,16.0,19.0,80.0,48.0,82.0,49.0,45.0
9,90.0,40.0,7.0,18.0,19.0,69.0,48.0,87.0,56.0,42.0
10,90.0,40.0,7.0,18.0,19.0,69.0,48.0,87.0,56.0,42.0
11,97.0,42.0,17.0,27.0,23.0,59.0,45.0,104.0,60.0,47.0
12,97.0,42.0,17.0,27.0,23.0,59.0,45.0,104.0,60.0,47.0
13,118.0,63.0,15.0,32.0,18.0,64.0,31.0,100.0,58.0,60.0
14,118.0,63.0,15.0,32.0,18.0,64.0,31.0,100.0,58.0,60.0
15,120.0,76.0,15.0,30.0,16.0,58.0,33.0,90.0,51.0,65.0
16,120.0,76.0,15.0,30.0,16.0,58.0,33.0,90.0,51.0,65.0
17,119.0,94.0,1.0,28.0,27.0,45.0,35.0,92.0,48.0,70.0
18,119.0,94.0,1.0,28.0,27.0,45.0,35.0,92.0,48.0,70.0
19,116.0,112.0,3.0,30.0,12.0,52.0,43.0,97.0,69.0,81.0
20,116.0,112.0,3.0,30.0,12.0,52.0,43.0,97.0,69.0,81.0
21,102.0,116.0,4.0,34.0,18.0,26.0,16.0,102.0,89.0,69.0
22,102.0,116.0,4.0,34.0,18.0,26.0,16.0,102.0,89.0,69.0
23,109.0,120.0,10.0,41.0,24.0,29.0,8.0,104.0,94.0,68.0
24,109.0,120.0,10.0,41.0,24.0,29.0,8.0,104.0,94.0,68.0
25,128.0,106.0,5.0,32.0,25.0,38.0,10.0,108.0,69.0,68.0
26,128.0,106.0,5.0,32.0,25.0,38.0,10.0,108.0,69.0,68.0
27,145.0,103.0,3.0,28.0,16.0,31.0,13.0,99.0,63.0,43.0
28,145.0,103.0,3.0,28.0,16.0,31.0,13.0,99.0,63.0,43.0
