,pandemic_infected,pandemic_recovered,pandemic_susceptible
0,7.75e-05,0.320025,0.674195
1,7.375e-05,0.3200825,0.67418875
2,6.500000000000001e-05,0.32013625,0.67418
3,5.875e-05,0.3201775,0.67417125
4,5.375e-05,0.32022249999999997,0.67416
5,5.125e-05,0.32025625,0.6741524999999999
6,4.7499999999999996e-05,0.32028375,0.6741475
7,4.5e-05,0.32032875,0.67414
8,4.5e-05,0.32036125,0.67413375
9,4e-05,0.32038625,0.67413125
10,3.875e-05,0.32041875,0.674125
11,3.5e-05,0.32044875,0.67411625
12,2.9999999999999997e-05,0.3204725,0.6741149999999999
13,3.125e-05,0.320495,0.6741075
14,3.375e-05,0.32051625,0.6741
15,3.5e-05,0.32054125,0.6740975
16,3.5e-05,0.3205575,0.67409375
17,3.125e-05,0.3205775,0.67408625
18,3.75e-05,0.32059499999999996,0.67407625
19,2.875e-05,0.32060875,0.67407375
20,2.375e-05,0.32063125,0.67407125
21,2.125e-05,0.32064000000000004,0.67406875
22,2e-05,0.32065125,0.6740649999999999
23,2e-05,0.32066,0.67406375
24,1.875e-05,0.320675,0.67406
25,2.25e-05,0.32069749999999997,0.67405125
26,2.125e-05,0.3207125,0.67404875
27,2.25e-05,0.32072249999999997,0.67404625
28,1.875e-05,0.32073625,0.6740425
29,1.75e-05,0.32074625,0.6740425
30,1.625e-05,0.32075875,0.67404125
31,1.875e-05,0.32076875,0.6740375
32,2.125e-05,0.32078375,0.6740325
33,1.875e-05,0.320795,0.6740325
34,1.75e-05,0.32080625,0.674025
35,1.625e-05,0.32081750000000003,0.6740225000000001
36,1.25e-05,0.3208225,0.67402
37,1.125e-05,0.32083375,0.6740175
38,8.75e-06,0.32083875,0.67401625
39,7.499999999999999e-06,0.320845,0.67401625
40,7.499999999999999e-06,0.32084875,0.6740149999999999
41,5e-06,0.32085125,0.6740149999999999
42,5e-06,0.32085625,0.67401375
43,2.5e-06,0.32086,0.67401375
44,0.0006275,2.5e-06,0.9993700000000001
45,0.00074375,4.7499999999999996e-05,0.9991275
46,0.00101875,0.0001325,0.99867125
47,0.00170125,0.00023500000000000002,0.99775
48,0.0031375,0.00044875,0.995825
49,0.00609125,0.0008225,0.9919775
50,0.01221625,0.0015775000000000001,0.98404625
51,0.0228125,0.00298375,0.9700475000000001
52,0.03816375,0.00562375,0.94849875
53,0.05487,0.00974375,0.92218875
54,0.0704475,0.0156675,0.89380375
55,0.08270875,0.022805000000000002,0.8663
56,0.09110875,0.03115375,0.8406575000000001
57,0.09584125,0.0406125,0.81722375
58,0.09765625,0.0510325,0.79620875
59,0.09714500000000001,0.062157500000000004,0.7773774999999999
60,0.0952375,0.07347625,0.76052625
61,0.0919075,0.085405,0.74525625
62,0.0879525,0.097375,0.7313925
63,0.083385,0.10945875,0.71901125
64,0.07829375,0.12127249999999999,0.70809375
65,0.07368375,0.13305250000000002,0.69780375
66,0.06898,0.14461625,0.6885525
67,0.06408125,0.15618375,0.68017375
68,0.05959625,0.167175,0.6725175
69,0.055485,0.17824375,0.66529875
70,0.051945000000000005,0.18877125,0.65851375
71,0.04847875,0.19899875,0.65200625
72,0.0452625,0.20899,0.64594625
73,0.042402499999999996,0.21868249999999997,0.6401975000000001
74,0.03939625,0.22829125,0.6350775
75,0.0368775,0.23737125,0.63001625
76,0.03453875,0.24611375,0.6252575
77,0.032175,0.25469625,0.6209825
78,0.029910000000000003,0.2630075,0.61706375
79,0.02793125,0.27076875,0.61340125
80,0.02610125,0.27838375,0.60998
81,0.024092500000000003,0.28571125,0.60682875
82,0.022375,0.2926875,0.60389875
83,0.0207675,0.2993475,0.60137875
84,0.0194,0.30589125,0.59888375
85,0.01810125,0.31206125,0.59653625
86,0.016715,0.31798375,0.5943975
87,0.01550125,0.32359375,0.5924075
88,0.01428625,0.32889250000000003,0.59068875
89,0.01323625,0.33395,0.58903875
90,0.01230125,0.33878875,0.5875975
91,0.011425,0.34349375,0.5861325
92,0.01064875,0.34786,0.58475
93,0.00970875,0.35205375,0.58362
94,0.00890625,0.35609,0.58255
95,0.00830875,0.35981875,0.5814675
96,0.00763875,0.3633975,0.58054625
97,0.00698375,0.36689,0.5797
98,0.006422499999999999,0.37011,0.57890625
99,0.0059125,0.37318125,0.57821375
100,0.00550625,0.375975,0.5775325
101,0.00513,0.37867375,0.5768475000000001
102,0.00479125,0.38127625,0.57626875
103,0.0045075,0.38377125,0.57568625
104,0.00426625,0.38604499999999997,0.57511125
105,0.00400625,0.3882,0.574575
106,0.0037075000000000003,0.39033375,0.5741025
107,0.0034174999999999995,0.392325,0.573645
108,0.0032424999999999997,0.39412625,0.5731975
109,0.0030524999999999997,0.39590875,0.572785
110,0.00288875,0.397505,0.5723550000000001
111,0.00275125,0.39914875,0.57196125
112,0.0025575,0.40058125,0.5716225
113,0.00245875,0.40204375,0.57123125
114,0.00229625,0.403425,0.5709025
115,0.00215,0.4047825,0.57058625
116,0.00199125,0.40604250000000003,0.57031125
117,0.00187625,0.40724375,0.57001625
118,0.00174875,0.4083475,0.56975625
119,0.0016575,0.409355,0.56953
120,0.00158875,0.41025500000000004,0.56928875
121,0.0014875,0.41118999999999994,0.56907625
122,0.00136875,0.41209625,0.5689075
123,0.0013325,0.41295375,0.5686725
124,0.00127375,0.41382250000000004,0.568475
125,0.00120625,0.41457125,0.5682875
126,0.001135,0.4153375,0.56810375
127,0.00106875,0.41596875,0.5679325
128,0.00107375,0.41664125,0.5677475000000001
129,0.00105375,0.4172,0.56757125
130,0.00102875,0.41780125,0.567415
131,0.0010225,0.41838625,0.56725625
132,0.0009925000000000001,0.4189175,0.567095
133,0.00099875,0.41941625,0.5669
134,0.00098625,0.41994,0.56671625
135,0.0009725,0.42040500000000003,0.56655125
136,0.00095,0.4208325,0.5663775
137,0.00091,0.42123875,0.56623625
138,0.00088875,0.42163249999999997,0.56606625
139,0.00082,0.42202125,0.56594625
140,0.00075625,0.42239499999999996,0.56580875
141,0.00074875,0.42273249999999996,0.56567125
142,0.00072,0.42306375,0.565545
143,0.00071125,0.42339499999999997,0.56543
144,0.00068375,0.4236775,0.5653199999999999
145,0.00063625,0.42396999999999996,0.56521875
146,0.0006275,0.42419625,0.56512625
147,0.0006225,0.4244575,0.5650149999999999
148,0.00059125,0.4247375,0.56491375
149,0.00057,0.4249825,0.564825
150,0.00056375,0.42519625,0.564725
151,0.00052125,0.42542125,0.5646399999999999
152,0.0005025,0.42564375,0.5645475000000001
153,0.00047625,0.42585249999999997,0.56448625
154,0.00045875,0.42605249999999995,0.5644275
155,0.00045125,0.42622625,0.5643575
156,0.00043625,0.42640500000000003,0.56428625
157,0.00041500000000000006,0.42658125,0.564225
158,0.00039375,0.426745,0.56416375
159,0.00038125,0.42690875,0.56410125
160,0.00037125,0.42707625,0.5640375
161,0.0003525,0.4272275,0.56398
162,0.00034500000000000004,0.42735,0.56392375
163,0.00034375,0.4274875,0.5638575
164,0.00034375,0.42761499999999997,0.5637949999999999
165,0.00035375,0.42773375,0.56373625
166,0.00033875,0.42786125,0.5636800000000001
167,0.0003525,0.42797375,0.56361375
168,0.0003575,0.428095,0.563555
169,0.00035499999999999996,0.42821375,0.5634899999999999
170,0.0003675,0.4283375,0.5634100000000001
171,0.00035,0.4284375,0.56336125
172,0.00035,0.42853500000000005,0.56329625
173,0.00031375,0.4286375,0.56325125
174,0.00031875,0.42872625,0.5632
175,0.000305,0.42881125,0.56314125
176,0.000305,0.42890375,0.5630875
177,0.000275,0.429005,0.56304375
178,0.00026000000000000003,0.42907125,0.5629925
179,0.00025125,0.42915249999999994,0.56295
180,0.0002275,0.42924375,0.5629125
181,0.00021375,0.42931375,0.56288625
182,0.00020625,0.42939499999999997,0.562855
183,0.00018625,0.42946999999999996,0.5628274999999999
184,0.00018375,0.42953500000000006,0.56279625
185,0.00017749999999999998,0.42959375,0.562775
186,0.00017749999999999998,0.429655,0.56274625
187,0.00016999999999999999,0.42971625,0.56272625
188,0.00016125,0.42977875,0.5627
189,0.00014625,0.429825,0.56268125
190,0.00014375,0.4298625,0.562655
191,0.0001375,0.4299325,0.56263
192,0.000135,0.42997250000000004,0.562605
193,0.00012749999999999998,0.4300075,0.56259125
194,0.00011375,0.43006375,0.5625775
195,0.0001125,0.4300975,0.5625574999999999
196,0.0001125,0.43013375,0.5625425000000001
197,0.0001075,0.43016499999999996,0.56252
198,9.25e-05,0.43020375,0.5625100000000001
199,9.499999999999999e-05,0.43022875,0.56249125
200,9.25e-05,0.430255,0.5624775
201,8.625e-05,0.43028249999999996,0.56247125
202,8.499999999999999e-05,0.430305,0.562455
203,7.125e-05,0.430335,0.56245
204,7.125e-05,0.43036,0.5624425000000001
205,6.375e-05,0.43038999999999994,0.56243625
206,6.125e-05,0.43041499999999994,0.56242375
207,5.625e-05,0.43045,0.5624175
208,5e-05,0.4304675,0.56241125
209,4.875e-05,0.43048875,0.5624024999999999
210,4.875e-05,0.430505,0.5623925000000001
211,4.875e-05,0.43053,0.56238
