,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-nj_turnpike_exit_6_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_8a,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_8a_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes
0,32.0,8.0,20.0,11.0,47.0,31.0,8.0,9.0,10.0,46.0,10.0,8.0,30.0,33.0
1,29.0,8.0,19.0,11.0,47.0,31.0,8.0,8.0,10.0,46.0,10.0,8.0,30.0,34.0
2,29.0,8.0,21.0,11.0,47.0,31.0,8.0,8.0,10.0,46.0,10.0,8.0,30.0,33.0
3,29.0,8.0,22.0,11.0,47.0,31.0,8.0,8.0,10.0,46.0,10.0,8.0,30.0,31.0
4,31.0,8.0,22.0,11.0,47.0,31.0,8.0,7.0,10.0,46.0,10.0,8.0,30.0,29.0
5,33.0,8.0,23.0,11.0,47.0,31.0,8.0,7.0,10.0,46.0,10.0,8.0,30.0,29.0
6,34.0,8.0,25.0,11.0,47.0,31.0,8.0,7.0,10.0,46.0,10.0,8.0,30.0,29.0
7,34.0,8.0,27.0,11.0,47.0,31.0,8.0,8.0,10.0,46.0,10.0,8.0,30.0,30.0
8,34.0,8.0,26.0,11.0,47.0,31.0,8.0,8.0,10.0,46.0,10.0,8.0,31.0,31.0
9,36.0,8.0,28.0,11.0,47.0,32.0,8.0,9.0,10.0,46.0,10.0,8.0,31.0,31.0
10,35.0,8.0,28.0,11.0,47.0,31.0,8.0,8.0,10.0,46.0,10.0,8.0,35.0,32.0
11,35.0,8.0,28.0,11.0,47.0,33.0,8.0,8.0,10.0,46.0,10.0,8.0,36.0,31.0
12,36.0,8.0,24.0,11.0,47.0,33.0,8.0,8.0,10.0,46.0,10.0,8.0,36.0,31.0
13,37.0,8.0,28.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,36.0,30.0
14,39.0,8.0,25.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,37.0,30.0
15,39.0,8.0,28.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,38.0,31.0
16,41.0,8.0,25.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,37.0,32.0
17,39.0,8.0,26.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,37.0,32.0
18,39.0,8.0,25.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,35.0,32.0
19,36.0,8.0,26.0,11.0,47.0,32.0,8.0,8.0,10.0,46.0,10.0,8.0,35.0,31.0
