,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level
0,11.0,12.0,12.0,11.0
1,11.0,12.0,12.0,11.0
2,11.0,12.0,12.0,11.0
3,11.0,12.0,12.0,11.0
4,11.0,13.0,13.0,11.0
5,11.0,14.0,14.0,11.0
6,11.0,14.0,14.0,11.0
7,12.0,15.0,14.0,12.0
8,13.0,14.0,14.0,13.0
9,14.0,15.0,15.0,14.0
10,15.0,14.0,14.0,15.0
11,18.0,14.0,14.0,18.0
12,16.0,14.0,14.0,17.0
13,13.0,15.0,14.0,14.0
14,12.0,14.0,13.0,13.0
15,12.0,13.0,12.0,12.0
16,12.0,13.0,13.0,12.0
17,12.0,13.0,12.0,12.0
18,12.0,13.0,13.0,12.0
19,12.0,12.0,12.0,11.0
20,12.0,12.0,13.0,11.0
21,12.0,12.0,12.0,11.0
22,12.0,12.0,13.0,11.0
23,12.0,12.0,13.0,11.0
24,12.0,12.0,12.0,12.0
25,12.0,12.0,12.0,11.0
26,12.0,13.0,13.0,11.0
27,12.0,13.0,13.0,12.0
28,12.0,13.0,13.0,12.0
29,12.0,14.0,14.0,12.0
30,12.0,14.0,15.0,12.0
31,12.0,15.0,14.0,13.0
32,12.0,13.0,13.0,12.0
33,12.0,12.0,12.0,11.0
34,12.0,12.0,12.0,12.0
35,12.0,12.0,13.0,11.0
36,12.0,12.0,12.0,11.0
37,12.0,12.0,12.0,11.0
38,11.0,13.0,13.0,11.0
39,11.0,13.0,13.0,11.0
40,11.0,14.0,13.0,12.0
41,11.0,12.0,13.0,11.0
42,12.0,14.0,12.0,13.0
43,11.0,13.0,13.0,11.0
44,11.0,13.0,13.0,11.0
45,11.0,13.0,13.0,11.0
46,11.0,12.0,12.0,11.0
47,12.0,12.0,12.0,11.0
48,11.0,12.0,12.0,11.0
49,11.0,13.0,13.0,11.0
50,11.0,13.0,13.0,11.0
51,11.0,12.0,12.0,11.0
52,11.0,12.0,12.0,11.0
53,11.0,13.0,13.0,11.0
54,11.0,14.0,13.0,11.0
55,11.0,15.0,14.0,11.0
56,12.0,14.0,14.0,12.0
57,12.0,14.0,14.0,12.0
58,13.0,15.0,14.0,13.0
59,14.0,16.0,15.0,14.0
60,15.0,16.0,14.0,16.0
61,19.0,16.0,16.0,18.0
62,20.0,15.0,16.0,18.0
63,18.0,17.0,18.0,17.0
64,17.0,16.0,16.0,17.0
65,14.0,15.0,15.0,14.0
66,13.0,15.0,15.0,14.0
67,13.0,14.0,14.0,14.0
68,12.0,13.0,14.0,11.0
69,11.0,13.0,13.0,11.0
70,11.0,12.0,12.0,11.0
71,11.0,12.0,12.0,11.0
72,11.0,12.0,12.0,11.0
73,11.0,12.0,12.0,11.0
74,11.0,12.0,12.0,11.0
75,11.0,12.0,12.0,11.0
76,11.0,13.0,12.0,12.0
77,11.0,12.0,12.0,11.0
78,11.0,12.0,12.0,11.0
79,11.0,12.0,11.0,11.0
80,11.0,12.0,11.0,11.0
81,11.0,12.0,12.0,11.0
82,11.0,12.0,11.0,11.0
83,11.0,12.0,12.0,11.0
84,11.0,13.0,12.0,12.0
85,11.0,13.0,13.0,11.0
86,11.0,14.0,13.0,11.0
87,11.0,14.0,13.0,11.0
88,11.0,13.0,13.0,11.0
89,11.0,12.0,12.0,11.0
90,11.0,12.0,12.0,11.0
91,11.0,12.0,12.0,11.0
92,11.0,13.0,12.0,12.0
93,11.0,13.0,12.0,11.0
94,11.0,12.0,12.0,11.0
95,11.0,13.0,13.0,11.0
96,11.0,12.0,13.0,11.0
97,11.0,12.0,13.0,11.0
98,11.0,12.0,12.0,11.0
99,11.0,12.0,11.0,11.0
100,11.0,12.0,11.0,11.0
101,11.0,12.0,11.0,11.0
102,11.0,12.0,12.0,11.0
103,11.0,12.0,12.0,11.0
104,11.0,12.0,12.0,11.0
105,11.0,12.0,11.0,11.0
106,11.0,12.0,11.0,11.0
107,11.0,12.0,12.0,11.0
108,11.0,12.0,11.0,11.0
109,11.0,13.0,12.0,11.0
110,11.0,12.0,11.0,11.0
111,11.0,12.0,11.0,11.0
112,11.0,12.0,11.0,11.0
113,11.0,12.0,11.0,11.0
114,11.0,12.0,11.0,11.0
115,11.0,12.0,12.0,11.0
116,11.0,13.0,12.0,11.0
117,11.0,14.0,14.0,11.0
118,11.0,14.0,14.0,11.0
119,11.0,13.0,13.0,11.0
120,11.0,12.0,12.0,11.0
121,11.0,12.0,11.0,11.0
122,11.0,12.0,11.0,11.0
123,11.0,12.0,11.0,11.0
