,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level
0,23.0,23.0,22.0,23.0
1,24.0,25.0,21.0,22.0
2,26.0,27.0,20.0,20.0
3,26.0,27.0,18.0,19.0
4,25.0,26.0,18.0,18.0
5,24.0,25.0,16.0,16.0
6,20.0,21.0,15.0,16.0
7,19.0,19.0,15.0,15.0
8,18.0,18.0,15.0,15.0
9,17.0,18.0,15.0,16.0
10,16.0,18.0,16.0,17.0
11,16.0,18.0,16.0,18.0
12,18.0,19.0,18.0,18.0
13,17.0,18.0,18.0,19.0
14,20.0,18.0,21.0,19.0
15,19.0,18.0,20.0,19.0
16,16.0,17.0,19.0,20.0
17,16.0,17.0,19.0,20.0
18,15.0,16.0,18.0,18.0
19,16.0,16.0,18.0,18.0
20,15.0,16.0,15.0,15.0
21,15.0,16.0,14.0,14.0
22,16.0,16.0,13.0,13.0
23,15.0,15.0,13.0,13.0
24,14.0,15.0,12.0,13.0
25,13.0,14.0,12.0,13.0
26,13.0,14.0,12.0,13.0
27,14.0,15.0,12.0,13.0
28,13.0,14.0,11.0,13.0
29,13.0,13.0,12.0,12.0
30,13.0,13.0,11.0,12.0
31,13.0,13.0,11.0,12.0
32,13.0,15.0,12.0,13.0
33,14.0,13.0,12.0,11.0
34,13.0,15.0,11.0,13.0
35,13.0,13.0,11.0,12.0
36,15.0,13.0,14.0,12.0
37,15.0,13.0,14.0,12.0
38,14.0,14.0,13.0,13.0
39,14.0,14.0,13.0,13.0
40,13.0,13.0,13.0,12.0
41,13.0,13.0,13.0,13.0
42,14.0,13.0,14.0,13.0
43,14.0,13.0,13.0,12.0
44,14.0,14.0,13.0,12.0
45,14.0,13.0,12.0,12.0
46,13.0,13.0,12.0,12.0
47,14.0,13.0,13.0,12.0
48,14.0,13.0,13.0,12.0
49,13.0,13.0,12.0,12.0
50,13.0,13.0,12.0,12.0
51,13.0,13.0,12.0,12.0
52,13.0,13.0,12.0,12.0
53,14.0,14.0,14.0,14.0
54,13.0,13.0,13.0,13.0
55,14.0,13.0,13.0,13.0
56,15.0,14.0,13.0,12.0
57,15.0,15.0,13.0,12.0
58,14.0,14.0,13.0,12.0
59,14.0,13.0,14.0,13.0
60,13.0,13.0,13.0,13.0
61,13.0,13.0,12.0,12.0
62,13.0,14.0,12.0,13.0
63,13.0,14.0,12.0,13.0
64,13.0,13.0,12.0,12.0
65,13.0,13.0,12.0,12.0
66,15.0,13.0,14.0,12.0
67,15.0,13.0,14.0,12.0
68,14.0,13.0,14.0,13.0
69,13.0,13.0,13.0,13.0
70,13.0,12.0,13.0,12.0
71,13.0,14.0,12.0,13.0
72,13.0,13.0,13.0,13.0
73,13.0,13.0,12.0,12.0
74,14.0,13.0,13.0,12.0
75,15.0,13.0,13.0,12.0
76,14.0,13.0,13.0,13.0
77,13.0,13.0,13.0,13.0
78,13.0,12.0,12.0,12.0
79,14.0,13.0,13.0,12.0
80,14.0,13.0,14.0,13.0
81,14.0,14.0,13.0,13.0
82,14.0,14.0,12.0,12.0
83,14.0,14.0,12.0,12.0
84,15.0,16.0,12.0,12.0
85,15.0,16.0,11.0,12.0
86,13.0,14.0,11.0,12.0
87,13.0,13.0,11.0,12.0
88,12.0,12.0,12.0,13.0
89,12.0,12.0,11.0,11.0
90,12.0,15.0,11.0,14.0
91,12.0,15.0,11.0,14.0
92,12.0,25.0,11.0,24.0
93,12.0,24.0,11.0,23.0
94,12.0,19.0,11.0,19.0
95,12.0,16.0,12.0,16.0
96,12.0,16.0,12.0,16.0
97,12.0,17.0,12.0,17.0
98,13.0,15.0,11.0,14.0
99,12.0,15.0,11.0,14.0
100,13.0,15.0,11.0,13.0
101,13.0,14.0,11.0,12.0
102,15.0,15.0,12.0,12.0
103,14.0,14.0,12.0,12.0
104,14.0,14.0,11.0,11.0
105,13.0,13.0,11.0,11.0
106,11.0,12.0,11.0,11.0
107,12.0,12.0,11.0,11.0
108,12.0,12.0,11.0,11.0
109,11.0,12.0,11.0,11.0
110,12.0,12.0,11.0,11.0
111,12.0,13.0,12.0,12.0
112,13.0,13.0,11.0,12.0
113,14.0,14.0,13.0,13.0
