,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level
0,20.0,16.0,19.0,20.0,25.0,13.0
1,19.0,16.0,20.0,20.0,27.0,13.0
2,19.0,17.0,19.0,20.0,25.0,13.0
3,19.0,27.0,19.0,20.0,26.0,14.0
4,18.0,28.0,19.0,20.0,21.0,13.0
5,17.0,31.0,16.0,24.0,19.0,13.0
6,17.0,31.0,15.0,22.0,21.0,13.0
7,18.0,27.0,15.0,26.0,20.0,14.0
8,17.0,25.0,16.0,26.0,20.0,13.0
9,17.0,22.0,16.0,26.0,18.0,13.0
10,19.0,20.0,17.0,26.0,21.0,12.0
11,18.0,20.0,18.0,25.0,20.0,12.0
12,14.0,20.0,20.0,31.0,21.0,11.0
13,15.0,21.0,19.0,27.0,22.0,11.0
14,16.0,20.0,21.0,25.0,22.0,11.0
15,16.0,20.0,22.0,31.0,21.0,11.0
16,15.0,20.0,24.0,26.0,25.0,11.0
17,15.0,19.0,25.0,24.0,24.0,11.0
18,15.0,19.0,23.0,24.0,28.0,11.0
19,15.0,20.0,22.0,24.0,27.0,11.0
20,16.0,19.0,21.0,22.0,27.0,11.0
21,16.0,19.0,22.0,21.0,30.0,11.0
22,16.0,19.0,23.0,18.0,33.0,11.0
23,14.0,18.0,25.0,16.0,32.0,11.0
24,14.0,19.0,26.0,17.0,28.0,11.0
25,15.0,20.0,26.0,18.0,31.0,11.0
26,15.0,20.0,26.0,18.0,34.0,11.0
27,16.0,18.0,26.0,17.0,35.0,11.0
28,16.0,17.0,26.0,16.0,36.0,11.0
29,15.0,16.0,26.0,15.0,33.0,11.0
30,16.0,16.0,30.0,17.0,30.0,11.0
31,17.0,16.0,30.0,18.0,30.0,11.0
32,17.0,16.0,29.0,19.0,28.0,11.0
33,17.0,17.0,28.0,18.0,29.0,11.0
34,18.0,17.0,31.0,19.0,28.0,11.0
35,22.0,18.0,29.0,20.0,28.0,12.0
36,17.0,19.0,30.0,22.0,32.0,11.0
37,18.0,17.0,29.0,21.0,37.0,11.0
38,22.0,16.0,28.0,21.0,33.0,11.0
39,21.0,17.0,29.0,20.0,32.0,11.0
40,24.0,17.0,30.0,21.0,40.0,11.0
41,24.0,18.0,29.0,21.0,39.0,11.0
42,24.0,19.0,26.0,20.0,38.0,11.0
43,20.0,20.0,25.0,19.0,40.0,11.0
44,20.0,21.0,24.0,18.0,41.0,11.0
45,20.0,22.0,24.0,21.0,43.0,11.0
46,20.0,22.0,22.0,20.0,51.0,11.0
47,21.0,22.0,23.0,20.0,55.0,11.0
48,21.0,23.0,21.0,20.0,60.0,11.0
49,21.0,25.0,20.0,20.0,57.0,11.0
50,25.0,24.0,20.0,20.0,65.0,11.0
51,26.0,25.0,20.0,22.0,62.0,11.0
52,21.0,26.0,21.0,21.0,63.0,11.0
53,22.0,23.0,22.0,22.0,68.0,11.0
54,23.0,24.0,23.0,23.0,60.0,11.0
55,21.0,25.0,24.0,23.0,57.0,11.0
56,23.0,26.0,25.0,23.0,43.0,11.0
57,27.0,28.0,26.0,23.0,48.0,11.0
58,26.0,29.0,27.0,25.0,39.0,11.0
59,26.0,30.0,32.0,25.0,35.0,11.0
60,25.0,29.0,32.0,23.0,28.0,11.0
61,28.0,28.0,34.0,21.0,29.0,11.0
62,32.0,26.0,35.0,25.0,29.0,11.0
63,33.0,27.0,36.0,25.0,29.0,11.0
64,34.0,29.0,37.0,25.0,30.0,11.0
65,27.0,25.0,37.0,22.0,29.0,11.0
66,27.0,27.0,36.0,22.0,32.0,11.0
67,28.0,30.0,36.0,24.0,32.0,11.0
68,30.0,29.0,33.0,22.0,29.0,11.0
69,30.0,30.0,34.0,22.0,31.0,11.0
70,25.0,26.0,33.0,23.0,36.0,11.0
71,25.0,26.0,36.0,26.0,38.0,11.0
72,24.0,30.0,35.0,23.0,38.0,11.0
73,21.0,31.0,35.0,22.0,35.0,11.0
74,23.0,29.0,37.0,22.0,40.0,11.0
75,24.0,29.0,36.0,23.0,40.0,11.0
76,23.0,28.0,34.0,23.0,40.0,11.0
77,24.0,26.0,35.0,24.0,42.0,11.0
78,29.0,26.0,34.0,24.0,47.0,13.0
79,32.0,25.0,36.0,23.0,46.0,12.0
80,30.0,28.0,33.0,21.0,47.0,13.0
81,34.0,28.0,33.0,21.0,41.0,14.0
82,31.0,24.0,35.0,22.0,43.0,14.0
83,29.0,26.0,36.0,22.0,47.0,14.0
84,28.0,26.0,38.0,22.0,46.0,13.0
85,25.0,28.0,39.0,21.0,47.0,12.0
86,25.0,29.0,39.0,22.0,48.0,12.0
87,27.0,31.0,35.0,19.0,44.0,20.0
88,29.0,30.0,33.0,20.0,42.0,20.0
89,24.0,32.0,33.0,22.0,47.0,20.0
90,23.0,30.0,36.0,22.0,52.0,20.0
91,22.0,29.0,35.0,23.0,44.0,20.0
92,23.0,34.0,31.0,23.0,38.0,19.0
93,24.0,32.0,30.0,23.0,39.0,17.0
94,26.0,34.0,30.0,22.0,40.0,17.0
95,27.0,31.0,31.0,23.0,39.0,16.0
96,26.0,35.0,32.0,23.0,37.0,16.0
