,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level
0,9.0,9.0,12.0,9.0,5.0
1,9.0,10.0,13.0,9.0,5.0
2,8.0,10.0,13.0,9.0,5.0
3,7.0,10.0,14.0,8.0,5.0
4,7.0,10.0,14.0,8.0,5.0
5,7.0,10.0,15.0,6.0,5.0
6,8.0,10.0,15.0,6.0,5.0
7,7.0,9.0,15.0,5.0,5.0
8,7.0,9.0,15.0,5.0,5.0
9,7.0,8.0,15.0,5.0,5.0
10,7.0,8.0,16.0,5.0,5.0
11,7.0,8.0,16.0,5.0,5.0
12,7.0,8.0,16.0,5.0,5.0
13,7.0,8.0,16.0,5.0,5.0
14,7.0,9.0,17.0,5.0,6.0
15,7.0,9.0,17.0,5.0,7.0
16,6.0,9.0,18.0,5.0,7.0
17,6.0,9.0,19.0,5.0,6.0
18,6.0,10.0,19.0,5.0,6.0
19,6.0,9.0,19.0,5.0,6.0
20,6.0,9.0,19.0,5.0,8.0
21,6.0,9.0,19.0,5.0,6.0
22,5.0,9.0,19.0,5.0,6.0
23,6.0,9.0,19.0,5.0,5.0
24,6.0,9.0,19.0,5.0,5.0
25,6.0,10.0,18.0,5.0,5.0
26,6.0,10.0,17.0,5.0,5.0
27,5.0,10.0,17.0,5.0,5.0
28,5.0,10.0,17.0,5.0,5.0
29,6.0,10.0,17.0,5.0,5.0
30,6.0,11.0,16.0,5.0,5.0
31,5.0,11.0,16.0,5.0,5.0
32,5.0,11.0,15.0,5.0,5.0
33,6.0,10.0,15.0,5.0,5.0
34,6.0,10.0,14.0,5.0,5.0
35,6.0,9.0,14.0,5.0,5.0
36,6.0,9.0,14.0,5.0,5.0
37,5.0,9.0,14.0,6.0,5.0
38,5.0,10.0,14.0,6.0,5.0
39,5.0,9.0,14.0,7.0,5.0
40,5.0,9.0,14.0,7.0,5.0
41,5.0,9.0,14.0,7.0,5.0
42,5.0,9.0,14.0,6.0,5.0
43,5.0,9.0,14.0,6.0,5.0
44,6.0,9.0,13.0,6.0,5.0
45,6.0,9.0,13.0,5.0,5.0
46,6.0,10.0,13.0,5.0,5.0
47,6.0,10.0,13.0,5.0,5.0
48,6.0,10.0,12.0,5.0,5.0
49,6.0,10.0,12.0,5.0,5.0
50,6.0,10.0,12.0,5.0,5.0
51,6.0,10.0,12.0,5.0,5.0
52,6.0,10.0,12.0,5.0,5.0
53,5.0,10.0,12.0,5.0,5.0
54,5.0,10.0,11.0,5.0,5.0
55,5.0,9.0,10.0,5.0,5.0
56,5.0,9.0,10.0,5.0,5.0
57,5.0,10.0,10.0,5.0,5.0
58,5.0,10.0,10.0,5.0,5.0
59,5.0,11.0,10.0,5.0,5.0
60,6.0,11.0,10.0,5.0,5.0
61,6.0,12.0,10.0,5.0,5.0
62,6.0,12.0,10.0,5.0,5.0
63,6.0,13.0,10.0,5.0,5.0
64,5.0,14.0,10.0,5.0,5.0
65,5.0,14.0,10.0,5.0,5.0
66,5.0,14.0,10.0,5.0,6.0
67,5.0,14.0,10.0,5.0,6.0
68,5.0,13.0,10.0,5.0,6.0
69,5.0,12.0,10.0,5.0,7.0
70,5.0,11.0,10.0,5.0,7.0
71,5.0,11.0,9.0,5.0,8.0
72,5.0,10.0,10.0,5.0,9.0
73,5.0,10.0,12.0,5.0,9.0
74,5.0,11.0,13.0,5.0,9.0
75,5.0,11.0,13.0,5.0,9.0
76,6.0,11.0,12.0,5.0,9.0
77,6.0,11.0,11.0,5.0,9.0
78,6.0,11.0,10.0,5.0,9.0
79,6.0,11.0,10.0,5.0,9.0
80,6.0,12.0,11.0,5.0,10.0
81,6.0,13.0,10.0,5.0,10.0
82,6.0,13.0,9.0,5.0,10.0
83,7.0,13.0,9.0,5.0,11.0
84,6.0,12.0,9.0,5.0,11.0
85,6.0,11.0,9.0,5.0,12.0
86,5.0,11.0,9.0,5.0,13.0
87,5.0,12.0,9.0,5.0,12.0
88,5.0,12.0,9.0,5.0,13.0
89,5.0,12.0,9.0,5.0,12.0
90,5.0,12.0,9.0,5.0,12.0
91,5.0,12.0,9.0,5.0,13.0
92,5.0,12.0,8.0,5.0,13.0
93,5.0,13.0,8.0,5.0,14.0
94,5.0,13.0,8.0,5.0,14.0
95,5.0,14.0,8.0,5.0,13.0
96,5.0,13.0,8.0,5.0,12.0
97,5.0,13.0,8.0,5.0,12.0
98,5.0,13.0,8.0,5.0,11.0
99,5.0,12.0,8.0,5.0,12.0
100,5.0,11.0,8.0,5.0,11.0
101,5.0,11.0,8.0,5.0,10.0
102,5.0,11.0,9.0,5.0,10.0
103,5.0,12.0,9.0,5.0,9.0
104,5.0,12.0,9.0,5.0,9.0
105,5.0,11.0,9.0,5.0,10.0
106,5.0,11.0,8.0,5.0,11.0
107,5.0,11.0,9.0,5.0,11.0
108,5.0,11.0,9.0,5.0,11.0
109,5.0,11.0,9.0,5.0,10.0
110,5.0,11.0,10.0,5.0,9.0
111,5.0,11.0,10.0,5.0,9.0
112,5.0,11.0,10.0,5.0,9.0
113,5.0,10.0,10.0,5.0,12.0
114,5.0,10.0,10.0,5.0,13.0
115,5.0,9.0,10.0,5.0,16.0
116,5.0,9.0,10.0,5.0,17.0
117,5.0,8.0,10.0,5.0,20.0
118,5.0,8.0,10.0,5.0,20.0
119,5.0,8.0,10.0,5.0,18.0
120,5.0,8.0,10.0,5.0,18.0
121,6.0,8.0,10.0,5.0,18.0
122,6.0,8.0,9.0,5.0,17.0
123,5.0,8.0,9.0,5.0,18.0
124,6.0,8.0,9.0,5.0,18.0
125,6.0,8.0,9.0,5.0,19.0
126,6.0,10.0,9.0,5.0,20.0
127,6.0,9.0,9.0,5.0,19.0
128,6.0,10.0,9.0,5.0,19.0
129,6.0,8.0,9.0,5.0,18.0
130,7.0,8.0,9.0,5.0,18.0
131,7.0,8.0,9.0,5.0,18.0
132,8.0,8.0,9.0,5.0,18.0
133,9.0,8.0,9.0,5.0,17.0
134,9.0,8.0,10.0,5.0,17.0
135,10.0,8.0,10.0,5.0,16.0
136,10.0,8.0,10.0,5.0,16.0
137,11.0,8.0,10.0,5.0,15.0
138,11.0,8.0,11.0,5.0,15.0
139,11.0,8.0,11.0,5.0,15.0
140,11.0,8.0,11.0,5.0,15.0
141,11.0,24.0,11.0,5.0,15.0
142,12.0,24.0,11.0,5.0,15.0
143,12.0,10.0,11.0,5.0,16.0
144,13.0,10.0,11.0,5.0,16.0
145,13.0,9.0,11.0,5.0,16.0
146,13.0,9.0,11.0,5.0,16.0
147,13.0,8.0,11.0,5.0,16.0
148,14.0,8.0,12.0,5.0,16.0
149,14.0,8.0,12.0,5.0,16.0
150,13.0,8.0,13.0,5.0,16.0
151,13.0,8.0,13.0,5.0,16.0
152,13.0,8.0,12.0,5.0,16.0
153,14.0,8.0,12.0,5.0,15.0
154,15.0,8.0,11.0,5.0,15.0
155,15.0,8.0,11.0,6.0,15.0
156,16.0,8.0,11.0,6.0,15.0
157,16.0,8.0,11.0,5.0,15.0
