,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level
0,12.0,15.0,18.0,13.0,9.0
1,12.0,14.0,16.0,13.0,9.0
2,12.0,13.0,15.0,13.0,9.0
3,11.0,12.0,15.0,12.0,8.0
4,11.0,12.0,15.0,12.0,9.0
5,11.0,12.0,15.0,12.0,8.0
6,11.0,12.0,15.0,12.0,9.0
7,11.0,12.0,14.0,12.0,9.0
8,11.0,12.0,14.0,11.0,9.0
9,10.0,12.0,14.0,11.0,9.0
10,10.0,12.0,14.0,10.0,9.0
11,10.0,12.0,14.0,10.0,9.0
12,10.0,13.0,13.0,10.0,9.0
13,10.0,13.0,14.0,10.0,9.0
14,10.0,13.0,13.0,10.0,9.0
15,10.0,12.0,12.0,10.0,8.0
16,9.0,12.0,11.0,9.0,7.0
17,8.0,10.0,11.0,8.0,6.0
18,7.0,10.0,11.0,8.0,6.0
19,7.0,9.0,10.0,7.0,6.0
20,6.0,10.0,11.0,6.0,6.0
21,6.0,10.0,11.0,6.0,6.0
22,6.0,10.0,11.0,7.0,6.0
23,7.0,11.0,11.0,7.0,7.0
24,7.0,11.0,11.0,8.0,7.0
25,7.0,11.0,11.0,8.0,7.0
26,7.0,10.0,11.0,8.0,7.0
27,7.0,11.0,11.0,8.0,7.0
28,7.0,11.0,11.0,8.0,8.0
29,7.0,12.0,10.0,8.0,9.0
30,6.0,13.0,10.0,8.0,9.0
31,6.0,13.0,10.0,8.0,10.0
32,6.0,13.0,10.0,8.0,10.0
33,6.0,14.0,10.0,7.0,11.0
34,6.0,15.0,10.0,7.0,11.0
35,6.0,15.0,10.0,6.0,11.0
36,6.0,15.0,10.0,7.0,11.0
37,6.0,14.0,10.0,7.0,10.0
38,6.0,14.0,10.0,7.0,9.0
39,6.0,13.0,10.0,7.0,9.0
40,6.0,12.0,10.0,7.0,7.0
41,6.0,11.0,10.0,7.0,7.0
42,6.0,10.0,10.0,7.0,6.0
43,6.0,9.0,10.0,7.0,6.0
44,6.0,9.0,10.0,6.0,6.0
45,6.0,9.0,10.0,7.0,6.0
46,6.0,9.0,10.0,7.0,6.0
47,6.0,9.0,10.0,7.0,6.0
48,6.0,9.0,10.0,7.0,6.0
49,6.0,9.0,9.0,7.0,6.0
50,6.0,9.0,10.0,7.0,6.0
51,6.0,9.0,10.0,7.0,6.0
52,6.0,9.0,10.0,7.0,6.0
53,6.0,9.0,10.0,6.0,6.0
54,6.0,9.0,10.0,6.0,6.0
55,6.0,10.0,10.0,6.0,6.0
56,6.0,10.0,10.0,7.0,6.0
57,6.0,10.0,10.0,7.0,6.0
58,7.0,10.0,10.0,7.0,7.0
59,7.0,10.0,11.0,7.0,6.0
60,7.0,10.0,12.0,7.0,6.0
61,7.0,10.0,12.0,7.0,5.0
62,7.0,10.0,11.0,7.0,5.0
63,7.0,10.0,10.0,7.0,5.0
64,6.0,10.0,10.0,7.0,5.0
65,6.0,9.0,9.0,6.0,5.0
66,5.0,9.0,9.0,6.0,5.0
67,5.0,9.0,9.0,6.0,5.0
68,5.0,9.0,9.0,6.0,5.0
69,5.0,8.0,9.0,6.0,5.0
70,5.0,8.0,9.0,6.0,5.0
71,5.0,8.0,8.0,6.0,5.0
72,5.0,8.0,8.0,6.0,6.0
73,5.0,9.0,8.0,6.0,6.0
74,5.0,9.0,8.0,5.0,5.0
75,5.0,8.0,8.0,5.0,5.0
76,5.0,8.0,8.0,6.0,5.0
77,5.0,8.0,8.0,6.0,5.0
78,5.0,8.0,8.0,6.0,5.0
79,5.0,8.0,8.0,6.0,5.0
80,5.0,8.0,8.0,6.0,5.0
81,5.0,8.0,8.0,6.0,5.0
82,5.0,8.0,8.0,6.0,5.0
83,5.0,8.0,8.0,6.0,5.0
84,5.0,8.0,8.0,5.0,5.0
85,5.0,8.0,8.0,6.0,5.0
86,5.0,7.0,8.0,6.0,5.0
87,5.0,7.0,8.0,6.0,5.0
88,5.0,7.0,8.0,6.0,5.0
89,5.0,7.0,8.0,6.0,5.0
90,5.0,7.0,8.0,5.0,5.0
91,5.0,8.0,8.0,5.0,5.0
92,5.0,8.0,8.0,5.0,5.0
93,5.0,8.0,8.0,5.0,5.0
94,5.0,8.0,8.0,5.0,5.0
95,5.0,8.0,8.0,5.0,5.0
96,5.0,8.0,8.0,5.0,5.0
97,5.0,7.0,8.0,5.0,5.0
98,5.0,8.0,8.0,6.0,5.0
99,5.0,8.0,8.0,5.0,5.0
100,5.0,8.0,8.0,6.0,5.0
101,5.0,8.0,8.0,6.0,5.0
102,5.0,8.0,7.0,6.0,5.0
103,5.0,8.0,7.0,5.0,5.0
104,5.0,7.0,7.0,5.0,5.0
105,5.0,7.0,7.0,5.0,5.0
106,5.0,7.0,7.0,5.0,5.0
107,5.0,7.0,7.0,5.0,5.0
108,5.0,7.0,7.0,5.0,5.0
109,5.0,7.0,7.0,5.0,5.0
110,5.0,7.0,8.0,5.0,5.0
111,5.0,7.0,7.0,5.0,5.0
112,5.0,7.0,7.0,5.0,5.0
113,5.0,7.0,8.0,5.0,5.0
114,5.0,7.0,8.0,5.0,5.0
115,5.0,7.0,7.0,5.0,5.0
116,5.0,7.0,8.0,5.0,5.0
117,5.0,7.0,7.0,5.0,5.0
118,5.0,7.0,7.0,5.0,5.0
119,5.0,7.0,7.0,5.0,5.0
120,5.0,7.0,7.0,5.0,5.0
121,5.0,7.0,7.0,5.0,5.0
122,5.0,7.0,7.0,5.0,5.0
123,5.0,7.0,7.0,5.0,5.0
124,5.0,7.0,7.0,5.0,5.0
125,5.0,7.0,7.0,5.0,5.0
126,5.0,7.0,7.0,5.0,5.0
127,5.0,7.0,7.0,5.0,5.0
128,5.0,7.0,7.0,5.0,5.0
129,5.0,7.0,7.0,5.0,5.0
130,5.0,7.0,7.0,5.0,5.0
131,5.0,7.0,7.0,5.0,5.0
132,5.0,7.0,7.0,5.0,5.0
133,5.0,7.0,7.0,5.0,5.0
134,5.0,7.0,11.0,5.0,5.0
135,5.0,7.0,9.0,5.0,5.0
136,5.0,7.0,7.0,5.0,5.0
137,5.0,7.0,7.0,5.0,5.0
138,5.0,7.0,7.0,5.0,5.0
139,5.0,7.0,7.0,5.0,5.0
140,5.0,7.0,7.0,5.0,5.0
141,5.0,7.0,7.0,5.0,5.0
142,5.0,7.0,7.0,5.0,5.0
143,5.0,7.0,7.0,5.0,5.0
144,5.0,7.0,7.0,5.0,5.0
145,5.0,7.0,7.0,5.0,5.0
146,5.0,7.0,7.0,5.0,5.0
147,5.0,7.0,7.0,5.0,5.0
148,5.0,7.0,7.0,5.0,5.0
149,5.0,7.0,7.0,5.0,5.0
150,5.0,7.0,7.0,5.0,5.0
151,5.0,7.0,7.0,5.0,5.0
152,5.0,7.0,7.0,5.0,5.0
153,5.0,7.0,13.0,5.0,5.0
154,10.0,7.0,12.0,11.0,5.0
155,9.0,7.0,7.0,10.0,5.0
156,5.0,7.0,7.0,5.0,5.0
157,5.0,7.0,7.0,5.0,5.0
158,5.0,7.0,7.0,6.0,5.0
159,5.0,7.0,7.0,6.0,5.0
160,5.0,7.0,7.0,5.0,5.0
161,5.0,7.0,7.0,5.0,5.0
162,5.0,7.0,7.0,5.0,5.0
163,5.0,7.0,7.0,5.0,5.0
164,5.0,7.0,7.0,5.0,5.0
165,5.0,7.0,7.0,5.0,5.0
166,5.0,7.0,7.0,5.0,5.0
167,5.0,7.0,7.0,5.0,5.0
168,5.0,7.0,7.0,6.0,5.0
169,5.0,7.0,7.0,6.0,5.0
170,5.0,7.0,7.0,6.0,5.0
171,5.0,7.0,7.0,5.0,5.0
172,5.0,7.0,7.0,5.0,5.0
173,5.0,7.0,7.0,5.0,5.0
174,5.0,7.0,7.0,5.0,5.0
175,5.0,7.0,7.0,5.0,5.0
176,5.0,7.0,7.0,6.0,5.0
177,5.0,7.0,7.0,5.0,5.0
178,5.0,7.0,7.0,5.0,5.0
179,5.0,7.0,7.0,5.0,5.0
180,5.0,7.0,7.0,5.0,5.0
181,5.0,7.0,7.0,5.0,5.0
182,5.0,7.0,7.0,5.0,5.0
183,5.0,7.0,7.0,5.0,5.0
184,5.0,7.0,7.0,5.0,5.0
185,5.0,7.0,7.0,5.0,5.0
186,5.0,7.0,7.0,5.0,5.0
187,5.0,7.0,7.0,5.0,5.0
188,5.0,7.0,7.0,5.0,5.0
189,5.0,7.0,7.0,5.0,5.0
190,5.0,7.0,7.0,5.0,5.0
191,5.0,7.0,7.0,6.0,5.0
192,5.0,7.0,7.0,5.0,5.0
193,5.0,7.0,7.0,5.0,5.0
194,5.0,7.0,7.0,5.0,5.0
195,5.0,7.0,7.0,5.0,5.0
196,5.0,7.0,7.0,5.0,5.0
197,5.0,7.0,7.0,5.0,5.0
198,5.0,7.0,7.0,5.0,5.0
199,5.0,7.0,7.0,5.0,5.0
200,5.0,7.0,7.0,5.0,5.0
201,5.0,7.0,7.0,5.0,5.0
202,5.0,7.0,7.0,5.0,5.0
203,5.0,7.0,7.0,5.0,5.0
204,5.0,7.0,7.0,5.0,5.0
205,5.0,7.0,7.0,5.0,5.0
206,5.0,7.0,7.0,5.0,5.0
207,5.0,7.0,7.0,5.0,5.0
208,5.0,7.0,7.0,5.0,5.0
209,5.0,7.0,7.0,5.0,5.0
210,5.0,7.0,7.0,6.0,5.0
211,5.0,7.0,7.0,6.0,5.0
212,5.0,7.0,7.0,5.0,5.0
213,5.0,7.0,7.0,5.0,5.0
214,5.0,7.0,7.0,5.0,5.0
215,5.0,8.0,7.0,5.0,5.0
216,5.0,7.0,7.0,5.0,5.0
217,5.0,7.0,7.0,5.0,5.0
218,5.0,7.0,7.0,5.0,5.0
219,5.0,7.0,7.0,5.0,5.0
220,5.0,7.0,7.0,5.0,5.0
221,5.0,7.0,7.0,5.0,5.0
222,5.0,7.0,7.0,5.0,5.0
223,5.0,7.0,7.0,5.0,5.0
224,5.0,7.0,7.0,5.0,5.0
225,5.0,7.0,7.0,6.0,5.0
226,5.0,7.0,7.0,6.0,5.0
227,5.0,7.0,7.0,6.0,5.0
228,5.0,7.0,7.0,5.0,5.0
229,5.0,7.0,7.0,5.0,5.0
230,5.0,7.0,7.0,5.0,5.0
231,5.0,7.0,7.0,5.0,5.0
232,5.0,7.0,7.0,5.0,5.0
233,5.0,7.0,7.0,5.0,5.0
234,5.0,7.0,7.0,5.0,5.0
235,5.0,7.0,8.0,5.0,5.0
236,5.0,7.0,8.0,6.0,5.0
237,5.0,7.0,8.0,5.0,5.0
238,5.0,8.0,8.0,6.0,5.0
239,5.0,8.0,8.0,6.0,5.0
240,5.0,8.0,8.0,6.0,5.0
241,5.0,8.0,8.0,6.0,5.0
242,5.0,8.0,8.0,6.0,5.0
243,5.0,8.0,8.0,6.0,5.0
244,5.0,8.0,8.0,6.0,5.0
245,5.0,8.0,8.0,6.0,5.0
246,5.0,8.0,8.0,5.0,5.0
247,5.0,8.0,7.0,6.0,5.0
248,5.0,7.0,7.0,5.0,5.0
249,5.0,8.0,8.0,6.0,5.0
250,5.0,7.0,8.0,6.0,5.0
251,5.0,7.0,8.0,6.0,5.0
252,5.0,7.0,8.0,6.0,5.0
253,5.0,7.0,7.0,6.0,5.0
254,5.0,8.0,7.0,5.0,5.0
255,5.0,8.0,7.0,6.0,5.0
256,5.0,7.0,8.0,6.0,5.0
257,5.0,8.0,8.0,6.0,5.0
258,5.0,8.0,8.0,6.0,5.0
259,5.0,8.0,7.0,6.0,5.0
260,5.0,7.0,8.0,6.0,5.0
261,5.0,7.0,8.0,6.0,5.0
262,5.0,7.0,7.0,6.0,5.0
263,5.0,7.0,7.0,6.0,5.0
264,5.0,8.0,7.0,6.0,5.0
265,5.0,8.0,7.0,6.0,5.0
266,5.0,7.0,7.0,6.0,5.0
267,5.0,7.0,7.0,6.0,5.0
268,5.0,7.0,7.0,6.0,5.0
269,5.0,7.0,7.0,6.0,5.0
270,5.0,8.0,8.0,6.0,5.0
271,5.0,8.0,8.0,6.0,5.0
272,5.0,8.0,8.0,6.0,5.0
273,5.0,8.0,8.0,6.0,5.0
274,5.0,8.0,8.0,6.0,5.0
275,5.0,8.0,7.0,6.0,5.0
276,5.0,7.0,8.0,6.0,5.0
277,5.0,7.0,9.0,5.0,5.0
278,5.0,7.0,8.0,6.0,5.0
279,5.0,7.0,8.0,6.0,5.0
280,5.0,8.0,8.0,6.0,5.0
281,5.0,8.0,8.0,6.0,5.0
282,6.0,8.0,8.0,6.0,5.0
283,6.0,8.0,8.0,7.0,5.0
284,6.0,8.0,9.0,7.0,5.0
285,6.0,8.0,9.0,7.0,5.0
286,6.0,8.0,9.0,7.0,5.0
287,7.0,8.0,10.0,8.0,5.0
288,7.0,9.0,10.0,8.0,6.0
289,7.0,9.0,9.0,7.0,6.0
290,6.0,9.0,9.0,6.0,6.0
291,6.0,9.0,9.0,7.0,6.0
292,5.0,9.0,8.0,6.0,6.0
293,5.0,9.0,8.0,6.0,7.0
294,5.0,9.0,8.0,6.0,7.0
295,5.0,9.0,8.0,6.0,7.0
296,5.0,9.0,8.0,6.0,6.0
297,5.0,9.0,8.0,7.0,6.0
298,5.0,9.0,8.0,7.0,6.0
299,5.0,9.0,8.0,6.0,6.0
300,5.0,9.0,9.0,6.0,6.0
301,5.0,9.0,9.0,6.0,6.0
302,6.0,9.0,9.0,7.0,6.0
303,6.0,9.0,9.0,7.0,6.0
304,6.0,9.0,9.0,7.0,6.0
305,6.0,9.0,10.0,7.0,6.0
306,7.0,10.0,10.0,7.0,7.0
307,7.0,10.0,10.0,8.0,7.0
308,7.0,10.0,11.0,8.0,7.0
309,7.0,11.0,11.0,9.0,7.0
310,8.0,11.0,11.0,9.0,8.0
311,8.0,11.0,11.0,9.0,8.0
312,8.0,11.0,11.0,9.0,8.0
313,8.0,11.0,12.0,10.0,8.0
314,9.0,10.0,12.0,10.0,7.0
315,9.0,10.0,12.0,10.0,7.0
316,9.0,10.0,13.0,11.0,7.0
317,9.0,10.0,13.0,12.0,7.0
318,9.0,11.0,13.0,11.0,8.0
319,9.0,11.0,13.0,11.0,8.0
320,9.0,12.0,14.0,12.0,8.0
321,10.0,12.0,14.0,12.0,9.0
322,10.0,13.0,14.0,11.0,9.0
323,10.0,13.0,14.0,11.0,9.0
324,10.0,14.0,15.0,12.0,10.0
325,11.0,14.0,16.0,13.0,10.0
326,12.0,15.0,17.0,14.0,10.0
327,12.0,15.0,17.0,14.0,11.0
328,13.0,15.0,18.0,16.0,10.0
329,13.0,15.0,18.0,16.0,11.0
330,12.0,15.0,17.0,16.0,11.0
331,11.0,16.0,16.0,16.0,11.0
332,10.0,16.0,15.0,16.0,11.0
333,10.0,16.0,15.0,16.0,11.0
334,10.0,16.0,16.0,16.0,11.0
335,10.0,16.0,15.0,16.0,11.0
336,10.0,16.0,16.0,16.0,10.0
337,10.0,16.0,16.0,15.0,10.0
338,10.0,16.0,17.0,14.0,10.0
339,10.0,16.0,17.0,14.0,10.0
340,11.0,16.0,17.0,14.0,10.0
341,11.0,16.0,17.0,13.0,10.0
342,12.0,16.0,18.0,14.0,10.0
343,12.0,16.0,18.0,14.0,11.0
344,13.0,16.0,19.0,15.0,11.0
345,13.0,16.0,19.0,15.0,11.0
346,12.0,17.0,18.0,15.0,12.0
347,12.0,17.0,17.0,15.0,12.0
348,11.0,17.0,17.0,14.0,13.0
349,11.0,17.0,16.0,13.0,12.0
350,10.0,18.0,16.0,12.0,13.0
351,10.0,18.0,16.0,12.0,13.0
352,10.0,18.0,16.0,12.0,13.0
353,10.0,17.0,16.0,12.0,13.0
354,11.0,16.0,16.0,13.0,12.0
355,11.0,16.0,16.0,14.0,12.0
356,10.0,15.0,15.0,13.0,11.0
357,9.0,14.0,14.0,12.0,10.0
358,9.0,14.0,13.0,12.0,10.0
359,9.0,13.0,13.0,11.0,10.0
360,9.0,13.0,13.0,10.0,9.0
361,9.0,12.0,13.0,11.0,9.0
362,9.0,12.0,14.0,11.0,9.0
363,10.0,11.0,14.0,12.0,8.0
364,10.0,10.0,14.0,12.0,7.0
365,10.0,10.0,14.0,12.0,6.0
366,10.0,9.0,14.0,11.0,6.0
367,11.0,9.0,14.0,12.0,6.0
368,11.0,9.0,16.0,12.0,6.0
369,12.0,9.0,16.0,12.0,6.0
370,12.0,9.0,16.0,13.0,6.0
371,13.0,9.0,17.0,14.0,6.0
372,14.0,9.0,18.0,15.0,6.0
373,14.0,9.0,18.0,15.0,6.0
374,14.0,9.0,18.0,14.0,6.0
375,13.0,9.0,17.0,14.0,6.0
376,13.0,10.0,16.0,13.0,6.0
377,12.0,10.0,16.0,13.0,7.0
378,11.0,11.0,15.0,12.0,7.0
379,11.0,11.0,15.0,12.0,8.0
380,9.0,11.0,13.0,10.0,8.0
381,8.0,12.0,12.0,9.0,8.0
382,7.0,12.0,11.0,7.0,8.0
383,6.0,12.0,9.0,6.0,8.0
384,5.0,12.0,9.0,6.0,8.0
385,5.0,12.0,9.0,6.0,8.0
386,5.0,12.0,9.0,6.0,8.0
387,5.0,12.0,9.0,6.0,8.0
388,6.0,12.0,10.0,7.0,8.0
389,6.0,12.0,10.0,7.0,8.0
390,7.0,11.0,11.0,8.0,7.0
391,7.0,10.0,11.0,8.0,7.0
392,8.0,10.0,12.0,9.0,7.0
393,9.0,10.0,12.0,9.0,7.0
394,9.0,10.0,13.0,10.0,7.0
395,9.0,11.0,13.0,10.0,7.0
396,9.0,12.0,13.0,10.0,8.0
397,10.0,12.0,13.0,10.0,9.0
398,10.0,12.0,13.0,10.0,9.0
399,9.0,12.0,13.0,10.0,9.0
400,9.0,12.0,13.0,10.0,8.0
401,9.0,12.0,12.0,9.0,8.0
402,8.0,12.0,12.0,9.0,9.0
403,8.0,12.0,11.0,9.0,9.0
404,8.0,12.0,11.0,8.0,9.0
405,7.0,12.0,11.0,8.0,9.0
406,7.0,12.0,10.0,8.0,9.0
407,7.0,12.0,11.0,8.0,9.0
408,7.0,12.0,11.0,8.0,9.0
409,8.0,11.0,11.0,8.0,8.0
410,8.0,10.0,11.0,9.0,7.0
411,8.0,9.0,12.0,9.0,6.0
412,9.0,9.0,12.0,9.0,5.0
413,9.0,8.0,12.0,9.0,5.0
414,9.0,8.0,12.0,9.0,5.0
415,9.0,8.0,12.0,9.0,5.0
